Parameter,Value,Run,Type
mu,0.001229619340871265,0,Estimation
d_mu,0.0041449970446790375,0,Estimation
e_mu,100.0,0,Estimation
nu,0.006489802488288255,0,Estimation
b0,0.043866280362378544,0,Estimation
d0,0.0033971690669876613,0,Estimation
d_d0,0.08245234547986052,0,Estimation
b1,0.07197880485117572,0,Estimation
d1,0.0686001701282884,0,Estimation
mu,0.000837101350948405,1,Estimation
d_mu,0.003050078187110157,1,Estimation
e_mu,10.102040823975226,1,Estimation
nu,0.0,1,Estimation
b0,0.06317836319859316,1,Estimation
d0,0.022793290573624597,1,Estimation
d_d0,0.08101302949327539,1,Estimation
b1,0.044834949977500545,1,Estimation
d1,0.047278276354375065,1,Estimation
mu,0.0,2,Estimation
d_mu,0.005976588161054306,2,Estimation
e_mu,7.50305232607913,2,Estimation
nu,0.0,2,Estimation
b0,0.07070239665506198,2,Estimation
d0,0.03105245526032446,2,Estimation
d_d0,0.07982638096331586,2,Estimation
b1,0.045511800856942515,2,Estimation
d1,0.048414410135827514,2,Estimation
mu,0.0009975314674555533,3,Estimation
d_mu,0.0038398048965719253,3,Estimation
e_mu,12.34803714892194,3,Estimation
nu,0.0,3,Estimation
b0,0.07260988025412424,3,Estimation
d0,0.031980654964237756,3,Estimation
d_d0,0.08115102010309984,3,Estimation
b1,0.043881925949538436,3,Estimation
d1,0.04681934778033555,3,Estimation
mu,0.0,4,Estimation
d_mu,0.003621951735753166,4,Estimation
e_mu,4.527592752963211,4,Estimation
nu,0.0008830727721235324,4,Estimation
b0,0.057664668707714646,4,Estimation
d0,0.017851939305971995,4,Estimation
d_d0,0.078680153268034,4,Estimation
b1,0.09876607908127491,4,Estimation
d1,0.1,4,Estimation
mu,0.0,5,Estimation
d_mu,0.004702940282819454,5,Estimation
e_mu,9.162348326748791,5,Estimation
nu,0.0,5,Estimation
b0,0.06977524518162993,5,Estimation
d0,0.029998970820539123,5,Estimation
d_d0,0.07852349528492596,5,Estimation
b1,0.05046153150998755,5,Estimation
d1,0.05254494525299017,5,Estimation
mu,0.0014898080563672852,6,Estimation
d_mu,0.0029715491317575927,6,Estimation
e_mu,45.45924997649997,6,Estimation
nu,0.0013345764293810436,6,Estimation
b0,0.04075021009148131,6,Estimation
d0,7.388161481267681e-05,6,Estimation
d_d0,0.08202408601603907,6,Estimation
b1,0.025804731641122437,6,Estimation
d1,0.027255822528764854,6,Estimation
mu,0.0,7,Estimation
d_mu,0.0056731114021145515,7,Estimation
e_mu,7.152624973038574,7,Estimation
nu,0.0,7,Estimation
b0,0.07135021307074059,7,Estimation
d0,0.032012209606964596,7,Estimation
d_d0,0.07972795035450132,7,Estimation
b1,0.04579839713495005,7,Estimation
d1,0.04881785725501471,7,Estimation
mu,0.0,8,Estimation
d_mu,0.005849575560136102,8,Estimation
e_mu,8.150899246994998,8,Estimation
nu,0.0,8,Estimation
b0,0.06776527215622838,8,Estimation
d0,0.027897703309766278,8,Estimation
d_d0,0.08050206149183421,8,Estimation
b1,0.051172454764793825,8,Estimation
d1,0.05398399716024989,8,Estimation
mu,0.0003600331323759407,9,Estimation
d_mu,0.004359068008517642,9,Estimation
e_mu,6.202948669099693,9,Estimation
nu,0.0,9,Estimation
b0,0.07017823842585265,9,Estimation
d0,0.030431564873572976,9,Estimation
d_d0,0.07963346144426886,9,Estimation
b1,0.022378550930814756,9,Estimation
d1,0.025111517713685822,9,Estimation
mu,0.001660675851769161,10,Estimation
d_mu,0.003986912154816202,10,Estimation
e_mu,96.75138347695348,10,Estimation
nu,0.0,10,Estimation
b0,0.09999999797299863,10,Estimation
d0,0.05860613734278127,10,Estimation
d_d0,0.08263990328645325,10,Estimation
b1,0.07391436639811308,10,Estimation
d1,0.07710099830506566,10,Estimation
mu,0.0008327374187891542,11,Estimation
d_mu,0.0029198382840671337,11,Estimation
e_mu,20.676771188768438,11,Estimation
nu,0.00685069597703801,11,Estimation
b0,0.07069298160361677,11,Estimation
d0,0.030182276272862442,11,Estimation
d_d0,0.0821681937394538,11,Estimation
b1,0.04161477594226368,11,Estimation
d1,0.03805416429164114,11,Estimation
mu,0.0010475318718562068,12,Estimation
d_mu,0.004683007084262251,12,Estimation
e_mu,100.0,12,Estimation
nu,0.009199007439489273,12,Estimation
b0,0.1,12,Estimation
d0,0.059877473137381315,12,Estimation
d_d0,0.08105231118559326,12,Estimation
b1,0.008149689158304793,12,Estimation
d1,0.0025157263933275856,12,Estimation
mu,0.000689707092999812,13,Estimation
d_mu,0.005063902165360893,13,Estimation
e_mu,14.453584334868305,13,Estimation
nu,0.0008189220292167641,13,Estimation
b0,0.07038653020361732,13,Estimation
d0,0.02961725631394062,13,Estimation
d_d0,0.08143033983558126,13,Estimation
b1,0.0408836626499525,13,Estimation
d1,0.0434568595604832,13,Estimation
mu,0.0005911416857241252,14,Estimation
d_mu,0.003266108005889898,14,Estimation
e_mu,100.0,14,Estimation
nu,0.03028988318626586,14,Estimation
b0,0.04045701771329409,14,Estimation
d0,7.422481095243812e-05,14,Estimation
d_d0,0.08118093067769881,14,Estimation
b1,0.09373382719708125,14,Estimation
d1,0.06756244255794887,14,Estimation
mu,0.0013581060117027219,15,Estimation
d_mu,0.0045507223878727306,15,Estimation
e_mu,99.99999904293037,15,Estimation
nu,0.002260202366290664,15,Estimation
b0,0.043311381928091905,15,Estimation
d0,0.0025467371677626114,15,Estimation
d_d0,0.08177179456437464,15,Estimation
b1,0.09740698206278975,15,Estimation
d1,0.09793119859858454,15,Estimation
mu,0.0,16,Estimation
d_mu,0.003847829420363831,16,Estimation
e_mu,4.131551260336163,16,Estimation
nu,0.0017029196057178173,16,Estimation
b0,0.06804720089113665,16,Estimation
d0,0.02818004639105466,16,Estimation
d_d0,0.07839557458258319,16,Estimation
b1,0.05168366464757008,16,Estimation
d1,0.05244805800259414,16,Estimation
mu,0.0,17,Estimation
d_mu,0.005631239084985068,17,Estimation
e_mu,7.745046573706771,17,Estimation
nu,0.0,17,Estimation
b0,0.07011645409655069,17,Estimation
d0,0.03104102353519917,17,Estimation
d_d0,0.07842536705938659,17,Estimation
b1,0.04568645126566039,17,Estimation
d1,0.04850378740211153,17,Estimation
mu,0.0007879620973714095,18,Estimation
d_mu,0.0036504221767164843,18,Estimation
e_mu,47.42904085658442,18,Estimation
nu,0.009729365137841247,18,Estimation
b0,0.04761915178365126,18,Estimation
d0,0.007402489376080738,18,Estimation
d_d0,0.0799636504157644,18,Estimation
b1,0.056546656257032514,18,Estimation
d1,0.05008401625260966,18,Estimation
mu,0.0,19,Estimation
d_mu,0.0049190881094267344,19,Estimation
e_mu,7.338509065249752,19,Estimation
nu,0.0,19,Estimation
b0,0.06951971737720093,19,Estimation
d0,0.029581835468503674,19,Estimation
d_d0,0.0791664765323545,19,Estimation
b1,0.04390728190531679,19,Estimation
d1,0.046365560970517146,19,Estimation
mu,0.0,20,Estimation
d_mu,0.005678225595959935,20,Estimation
e_mu,7.038998693360583,20,Estimation
nu,0.0,20,Estimation
b0,0.06808059206841081,20,Estimation
d0,0.028518238673972345,20,Estimation
d_d0,0.07956158384960822,20,Estimation
b1,0.044643108729854594,20,Estimation
d1,0.04805256601858213,20,Estimation
mu,0.0004962783061534767,21,Estimation
d_mu,0.004188543729158402,21,Estimation
e_mu,14.659815124399524,21,Estimation
nu,0.0011191598491244444,21,Estimation
b0,0.07047670892974985,21,Estimation
d0,0.03052074763282976,21,Estimation
d_d0,0.08036323752225252,21,Estimation
b1,0.04491240706671894,21,Estimation
d1,0.046146864611362415,21,Estimation
mu,0.0011672015819494527,22,Estimation
d_mu,0.004432531071784918,22,Estimation
e_mu,57.9962411372696,22,Estimation
nu,0.0,22,Estimation
b0,0.07032130244048883,22,Estimation
d0,0.02967327015543327,22,Estimation
d_d0,0.0803213262081069,22,Estimation
b1,0.04443089700102322,22,Estimation
d1,0.04657146655238911,22,Estimation
mu,0.0014399795246416796,23,Estimation
d_mu,0.004658263059312657,23,Estimation
e_mu,100.0,23,Estimation
nu,0.0,23,Estimation
b0,0.0749823308424629,23,Estimation
d0,0.03394696596998501,23,Estimation
d_d0,0.08112696739280727,23,Estimation
b1,0.08931605062093383,23,Estimation
d1,0.09229998418706382,23,Estimation
mu,0.0002908604482115085,24,Estimation
d_mu,0.0036274837006255245,24,Estimation
e_mu,16.834534501649394,24,Estimation
nu,0.023644908304198825,24,Estimation
b0,0.053777482220200054,24,Estimation
d0,0.014211180344526288,24,Estimation
d_d0,0.08059753394276441,24,Estimation
b1,0.06989388386701086,24,Estimation
d1,0.0512742893368487,24,Estimation
mu,0.0009480214157692546,25,Estimation
d_mu,0.0038958604134039735,25,Estimation
e_mu,58.698295732287185,25,Estimation
nu,0.007319245039411917,25,Estimation
b0,0.09931117783357361,25,Estimation
d0,0.05892881869751373,25,Estimation
d_d0,0.0805509998293321,25,Estimation
b1,0.05205503211482953,25,Estimation
d1,0.04793688515440469,25,Estimation
mu,0.0,26,Estimation
d_mu,0.003948381118441509,26,Estimation
e_mu,4.707502246844743,26,Estimation
nu,0.0,26,Estimation
b0,0.04587654154747261,26,Estimation
d0,0.005699502315607379,26,Estimation
d_d0,0.07895907950174513,26,Estimation
b1,0.06815441337195342,26,Estimation
d1,0.07034667454445635,26,Estimation
mu,0.0,27,Estimation
d_mu,0.004407392155297657,27,Estimation
e_mu,5.658014935044416,27,Estimation
nu,0.0,27,Estimation
b0,0.04602580917619206,27,Estimation
d0,0.006471789072402392,27,Estimation
d_d0,0.0783580722984832,27,Estimation
b1,0.06754778791171344,27,Estimation
d1,0.07013610576049616,27,Estimation
mu,0.001207938737434844,28,Estimation
d_mu,0.004931062449116785,28,Estimation
e_mu,100.0,28,Estimation
nu,0.0,28,Estimation
b0,0.09630714349854512,28,Estimation
d0,0.05500761230254424,28,Estimation
d_d0,0.08147334869765087,28,Estimation
b1,0.09772906010491103,28,Estimation
d1,0.09999557122315929,28,Estimation
mu,0.001413843603559161,29,Estimation
d_mu,0.007074334426140568,29,Estimation
e_mu,99.99999993206914,29,Estimation
nu,0.0,29,Estimation
b0,0.07264795505917433,29,Estimation
d0,0.03180820967670744,29,Estimation
d_d0,0.08246558821520747,29,Estimation
b1,0.0,29,Estimation
d1,0.0026934836319372018,29,Estimation
f0_init,0.9719058932541446,0,Estimation
f0_init,0.9804545261915492,1,Estimation
f0_init,1.0,2,Estimation
f0_init,0.9771033225326636,3,Estimation
f0_init,1.0,4,Estimation
f0_init,1.0,5,Estimation
f0_init,0.9657588700050863,6,Estimation
f0_init,1.0,7,Estimation
f0_init,1.0,8,Estimation
f0_init,0.9915245720176679,9,Estimation
f0_init,0.9627488222481047,10,Estimation
f0_init,0.981045351884836,11,Estimation
f0_init,0.9761449517826001,12,Estimation
f0_init,0.9843867176714437,13,Estimation
f0_init,0.9868358299665161,14,Estimation
f0_init,0.9688662703119696,15,Estimation
f0_init,1.0,16,Estimation
f0_init,1.0,17,Estimation
f0_init,0.9819532197272262,18,Estimation
f0_init,1.0,19,Estimation
f0_init,1.0,20,Estimation
f0_init,0.9882739887299027,21,Estimation
f0_init,0.9727216704483217,22,Estimation
f0_init,0.9672875403352926,23,Estimation
f0_init,0.9934997903625672,24,Estimation
f0_init,0.9783287535925194,25,Estimation
f0_init,1.0,26,Estimation
f0_init,1.0,27,Estimation
f0_init,0.9722733883256648,28,Estimation
f0_init,0.9675226571616969,29,Estimation
mu,0.0004,-1,True
d_mu,0.004,-1,True
e_mu,10.0,-1,True
nu,0.004,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
f0_init,0.9907057853780621,-1,True
