Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,5.940654793237406e-05,0,Estimation
nu,0.003509174055928715,0,Estimation
h_nu,-1.4612204165669753e-05,0,Estimation
b0,0.06370694557907736,0,Estimation
d0,0.024741114472793417,0,Estimation
d_d0,0.07834533758677514,0,Estimation
b1,0.05041641809190429,0,Estimation
d1,0.04945582903699554,0,Estimation
mu,0.0,1,Estimation
h_mu,6.776025867918205e-05,1,Estimation
nu,0.003311727507518888,1,Estimation
h_nu,-1.9767424342922423e-05,1,Estimation
b0,0.039317343691715634,1,Estimation
d0,0.0,1,Estimation
d_d0,0.0773656340672445,1,Estimation
b1,0.016301461882699653,1,Estimation
d1,0.016222870590895628,1,Estimation
mu,0.0011427660909043345,2,Estimation
h_mu,4.3196438397078206e-05,2,Estimation
nu,0.0062168660575958705,2,Estimation
h_nu,-0.0003377196934347325,2,Estimation
b0,0.07010693786303622,2,Estimation
d0,0.029828747246406252,2,Estimation
d_d0,0.08181715069807952,2,Estimation
b1,0.043455028638794094,2,Estimation
d1,0.04419691943955094,2,Estimation
mu,0.0,3,Estimation
h_mu,8.972499915050383e-05,3,Estimation
nu,0.006224549477698172,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.08296921112214313,3,Estimation
d0,0.0438573167999548,3,Estimation
d_d0,0.0774576347729195,3,Estimation
b1,0.07363750512612503,3,Estimation
d1,0.07511121880423514,3,Estimation
mu,0.0,4,Estimation
h_mu,5.2705333044997096e-05,4,Estimation
nu,0.005095218466024881,4,Estimation
h_nu,-0.025009976740616554,4,Estimation
b0,0.0696946529257301,4,Estimation
d0,0.030212054617035473,4,Estimation
d_d0,0.07808335242266086,4,Estimation
b1,0.04125356268266509,4,Estimation
d1,0.04191144710479348,4,Estimation
mu,0.0007656311908547957,5,Estimation
h_mu,3.3537871226656927e-05,5,Estimation
nu,0.003976584290140798,5,Estimation
h_nu,-5.302112395376284e-05,5,Estimation
b0,0.06222067461991371,5,Estimation
d0,0.021348679634602963,5,Estimation
d_d0,0.08203737557753607,5,Estimation
b1,0.05075635792385684,5,Estimation
d1,0.0496295472313418,5,Estimation
mu,0.0,6,Estimation
h_mu,4.381220375668171e-05,6,Estimation
nu,0.006013609724775756,6,Estimation
h_nu,-0.0008076906330174388,6,Estimation
b0,0.08292206501960796,6,Estimation
d0,0.043866175817940146,6,Estimation
d_d0,0.07744171445791852,6,Estimation
b1,0.051583061867817734,6,Estimation
d1,0.05219873547670483,6,Estimation
mu,0.0,7,Estimation
h_mu,6.280689322434644e-05,7,Estimation
nu,0.00521516705368788,7,Estimation
h_nu,-0.005653073288554711,7,Estimation
b0,0.07539088926422885,7,Estimation
d0,0.035654537178106925,7,Estimation
d_d0,0.07668318594844672,7,Estimation
b1,0.04980132189185522,7,Estimation
d1,0.05070248065349872,7,Estimation
mu,0.0005023386642556854,8,Estimation
h_mu,2.4246516737236237e-05,8,Estimation
nu,0.003925667801182406,8,Estimation
h_nu,-5.234521708308623e-05,8,Estimation
b0,0.04077458891160374,8,Estimation
d0,7.342709260942997e-07,8,Estimation
d_d0,0.0806006009765219,8,Estimation
b1,0.09106732562614174,8,Estimation
d1,0.08988849533716307,8,Estimation
mu,0.0,9,Estimation
h_mu,4.0714799539673926e-05,9,Estimation
nu,0.006073807636637938,9,Estimation
h_nu,-0.0074208502520551585,9,Estimation
b0,0.06942156964443924,9,Estimation
d0,0.03050212476590583,9,Estimation
d_d0,0.07624074296899414,9,Estimation
b1,0.04206423922872927,9,Estimation
d1,0.04203064799595781,9,Estimation
mu,0.002575439731158235,10,Estimation
h_mu,2.3360969772686e-05,10,Estimation
nu,0.00458315464456937,10,Estimation
h_nu,-6.110877275199032e-05,10,Estimation
b0,0.04192421145411188,10,Estimation
d0,4.374011934171295e-09,10,Estimation
d_d0,0.083554108357579,10,Estimation
b1,0.023094879680766588,10,Estimation
d1,0.023267489602279503,10,Estimation
mu,0.0,11,Estimation
h_mu,6.0504260185146074e-05,11,Estimation
nu,0.007324356709609782,11,Estimation
h_nu,-0.0011774969690947672,11,Estimation
b0,0.08258761746715455,11,Estimation
d0,0.04363458067599545,11,Estimation
d_d0,0.07682955532630742,11,Estimation
b1,0.04930624781351915,11,Estimation
d1,0.05031990959030672,11,Estimation
mu,0.0003379643619704486,12,Estimation
h_mu,5.1190297138713844e-05,12,Estimation
nu,0.005855241253008179,12,Estimation
h_nu,-0.0004248711598145549,12,Estimation
b0,0.06078728916306365,12,Estimation
d0,0.02164954414814379,12,Estimation
d_d0,0.07506764595293607,12,Estimation
b1,0.05844649173697676,12,Estimation
d1,0.059162355659808576,12,Estimation
mu,0.0014530290104046197,13,Estimation
h_mu,5.0805257999867786e-05,13,Estimation
nu,0.004157893319755228,13,Estimation
h_nu,-8.316711901123342e-05,13,Estimation
b0,0.08669565035482969,13,Estimation
d0,0.04596944584785915,13,Estimation
d_d0,0.07774952060151966,13,Estimation
b1,0.049555606356477704,13,Estimation
d1,0.04971722259061763,13,Estimation
mu,0.0,14,Estimation
h_mu,4.328419849614624e-05,14,Estimation
nu,0.005519409145942018,14,Estimation
h_nu,-0.006516575665748122,14,Estimation
b0,0.06927902264299234,14,Estimation
d0,0.030616125677662868,14,Estimation
d_d0,0.07459227961356323,14,Estimation
b1,0.03833315370279714,14,Estimation
d1,0.03806917445170378,14,Estimation
mu,0.0007192285127259658,15,Estimation
h_mu,4.0751517947012174e-05,15,Estimation
nu,0.004811422182996801,15,Estimation
h_nu,-0.00013133770939890567,15,Estimation
b0,0.08386220263799078,15,Estimation
d0,0.044006648157749725,15,Estimation
d_d0,0.08069947591531132,15,Estimation
b1,0.05137478991473757,15,Estimation
d1,0.05182933616658964,15,Estimation
mu,0.0,16,Estimation
h_mu,8.807379083089275e-05,16,Estimation
nu,0.00531166348281448,16,Estimation
h_nu,-0.00048327759986585946,16,Estimation
b0,0.08886819247845726,16,Estimation
d0,0.049957255502377604,16,Estimation
d_d0,0.07539807659291609,16,Estimation
b1,0.0497581276304928,16,Estimation
d1,0.05135098684747314,16,Estimation
mu,0.0,17,Estimation
h_mu,4.9939370863947554e-05,17,Estimation
nu,0.004435105348679262,17,Estimation
h_nu,-0.00017437511173995195,17,Estimation
b0,0.1,17,Estimation
d0,0.06048533219317192,17,Estimation
d_d0,0.07803441487924291,17,Estimation
b1,0.053460919744209974,17,Estimation
d1,0.05299624792012481,17,Estimation
mu,0.0,18,Estimation
h_mu,5.397745471809265e-05,18,Estimation
nu,0.005906997364871819,18,Estimation
h_nu,-0.06439530721657281,18,Estimation
b0,0.06975932134113531,18,Estimation
d0,0.029854001022381633,18,Estimation
d_d0,0.0804813154693011,18,Estimation
b1,0.03390788297926478,18,Estimation
d1,0.03442460021350564,18,Estimation
mu,0.0,19,Estimation
h_mu,3.678719587285885e-05,19,Estimation
nu,0.006064117667806951,19,Estimation
h_nu,-0.0012020429488801183,19,Estimation
b0,0.07364788971075435,19,Estimation
d0,0.03426534412047773,19,Estimation
d_d0,0.08101181322718513,19,Estimation
b1,0.009914368908758462,19,Estimation
d1,0.010240045669401432,19,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
