Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,5.2781814299784166e-05,0,Estimation
nu,0.0054671009844727446,0,Estimation
h_nu,-0.09195027740331707,0,Estimation
b0,0.09998359395300548,0,Estimation
d0,0.06042417371675483,0,Estimation
d_d0,0.07543637476564494,0,Estimation
b1,0.050074917352277495,0,Estimation
d1,0.05118064501958556,0,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
h_nu,-4e-05,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
