Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,7.991127669120631e-05,0,Estimation
nu,0.0051058631381212805,0,Estimation
h_nu,-0.005111791630541103,0,Estimation
b0,0.06995683562972814,0,Estimation
d0,0.030015987073882665,0,Estimation
d_d0,0.07865656109830262,0,Estimation
b1,0.009358227032875317,0,Estimation
d1,0.011007492335056443,0,Estimation
mu,0.00013459177555589429,1,Estimation
h_mu,4.584218379299267e-05,1,Estimation
nu,0.0039039727837304372,1,Estimation
h_nu,-4.230383306077957e-05,1,Estimation
b0,0.09994697485821782,1,Estimation
d0,0.06038060744387991,1,Estimation
d_d0,0.0781714438137626,1,Estimation
b1,0.050514231751355186,1,Estimation
d1,0.04956768690679936,1,Estimation
mu,0.0,2,Estimation
h_mu,7.379396134424797e-05,2,Estimation
nu,0.006691785950968894,2,Estimation
h_nu,-0.1,2,Estimation
b0,0.04424342825700246,2,Estimation
d0,0.005176060001814495,2,Estimation
d_d0,0.07764393916647867,2,Estimation
b1,0.04918102186139619,2,Estimation
d1,0.05078114277150086,2,Estimation
mu,0.0,3,Estimation
h_mu,7.149060915868225e-05,3,Estimation
nu,0.006413010456672542,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.039408395433163323,3,Estimation
d0,0.0,3,Estimation
d_d0,0.0776820281368524,3,Estimation
b1,0.04921362180903326,3,Estimation
d1,0.05077501840553708,3,Estimation
mu,0.0,4,Estimation
h_mu,6.214797549777247e-05,4,Estimation
nu,0.006523342983750245,4,Estimation
h_nu,-0.08377822630533208,4,Estimation
b0,0.056232988462061144,4,Estimation
d0,0.01726544089080923,4,Estimation
d_d0,0.0763273807502133,4,Estimation
b1,0.030141738456467754,4,Estimation
d1,0.03138652094904978,4,Estimation
mu,0.0,5,Estimation
h_mu,6.471941340703262e-05,5,Estimation
nu,0.006229793201149384,5,Estimation
h_nu,-0.1,5,Estimation
b0,0.0388984808836925,5,Estimation
d0,0.00015538813224453264,5,Estimation
d_d0,0.07667261037785068,5,Estimation
b1,0.04931509699606518,5,Estimation
d1,0.050674581564864304,5,Estimation
mu,0.0,6,Estimation
h_mu,7.64744068763959e-05,6,Estimation
nu,0.005375433966784077,6,Estimation
h_nu,-0.1,6,Estimation
b0,0.04696830921813986,6,Estimation
d0,0.007529068869906926,6,Estimation
d_d0,0.07801236620176856,6,Estimation
b1,0.049164343213809844,6,Estimation
d1,0.05081075329006749,6,Estimation
mu,0.0,7,Estimation
h_mu,6.390475074515516e-05,7,Estimation
nu,0.0070657419809695724,7,Estimation
h_nu,-0.08377822630533208,7,Estimation
b0,0.049248157830071,7,Estimation
d0,0.010615146082530228,7,Estimation
d_d0,0.07574520495491162,7,Estimation
b1,0.04752087558324275,7,Estimation
d1,0.04868596847528625,7,Estimation
mu,0.0,8,Estimation
h_mu,8.203779379380207e-05,8,Estimation
nu,0.005234828968729095,8,Estimation
h_nu,-0.00538060933592751,8,Estimation
b0,0.07003151806311371,8,Estimation
d0,0.029956343102260752,8,Estimation
d_d0,0.08021743016410281,8,Estimation
b1,0.0915431378973923,8,Estimation
d1,0.09325249408773627,8,Estimation
mu,0.0,9,Estimation
h_mu,6.709810960043355e-05,9,Estimation
nu,0.007250996080217667,9,Estimation
h_nu,-0.08377822630533208,9,Estimation
b0,0.09278812848738159,9,Estimation
d0,0.054087682336230083,9,Estimation
d_d0,0.07603026960267004,9,Estimation
b1,0.048678277671496344,9,Estimation
d1,0.04996092478768469,9,Estimation
mu,0.0,10,Estimation
h_mu,7.702338712639313e-05,10,Estimation
nu,0.006672654584671609,10,Estimation
h_nu,-0.0011354084620114678,10,Estimation
b0,0.09828921141339556,10,Estimation
d0,0.05890438937072287,10,Estimation
d_d0,0.07761989227427335,10,Estimation
b1,0.049085300475227626,10,Estimation
d1,0.05024574367711737,10,Estimation
mu,0.0,11,Estimation
h_mu,7.344713995537799e-05,11,Estimation
nu,0.006406962329963496,11,Estimation
h_nu,-0.08377822630533208,11,Estimation
