Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,7.376075868164164e-05,0,Estimation
nu,0.05557542475631732,0,Estimation
h_nu,-0.09886112193666236,0,Estimation
b0,0.0976307291544679,0,Estimation
d0,0.057586463238979924,0,Estimation
d_d0,0.07787720250754121,0,Estimation
b1,0.07463579371648527,0,Estimation
d1,0.07712397433374367,0,Estimation
mu,0.0,1,Estimation
h_mu,3.833025753452952e-05,1,Estimation
nu,0.0,1,Estimation
h_nu,-0.04573253732243926,1,Estimation
b0,0.06950840736813399,1,Estimation
d0,0.030491064176021272,1,Estimation
d_d0,0.0782795457493688,1,Estimation
b1,0.06800615946180043,1,Estimation
d1,0.06735340250466404,1,Estimation
mu,0.0,2,Estimation
h_mu,4.9999340192884266e-05,2,Estimation
nu,0.0,2,Estimation
h_nu,-0.04573253732243926,2,Estimation
b0,0.06965669804616531,2,Estimation
d0,0.03033331021538191,2,Estimation
d_d0,0.07890953954246128,2,Estimation
b1,0.061006889160394775,2,Estimation
d1,0.061596051557904485,2,Estimation
mu,0.0,3,Estimation
h_mu,5.893063611310079e-05,3,Estimation
nu,0.0,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.04246110546521294,3,Estimation
d0,0.0012915190868888393,3,Estimation
d_d0,0.0810371470005937,3,Estimation
b1,0.02024454671929235,3,Estimation
d1,0.021087772633744416,3,Estimation
mu,0.0,4,Estimation
h_mu,6.554778952956464e-05,4,Estimation
nu,0.05557542475631732,4,Estimation
h_nu,-0.09886112193666236,4,Estimation
b0,0.06368690742641062,4,Estimation
d0,0.02342989711320914,4,Estimation
d_d0,0.0771602388758283,4,Estimation
b1,0.010073364658870492,4,Estimation
d1,0.01206783742727244,4,Estimation
mu,0.0,5,Estimation
h_mu,5.6470111353693396e-05,5,Estimation
nu,0.0,5,Estimation
h_nu,-0.04573253732243926,5,Estimation
b0,0.06946753184503064,5,Estimation
d0,0.030531839024692257,5,Estimation
d_d0,0.07600856377231735,5,Estimation
b1,0.005256152062804173,5,Estimation
d1,0.005698824202391767,5,Estimation
mu,0.0,6,Estimation
h_mu,5.364525886263845e-05,6,Estimation
nu,0.05557542475631732,6,Estimation
h_nu,-0.09886112193666236,6,Estimation
b0,0.07882492751782151,6,Estimation
d0,0.03904244084185614,6,Estimation
d_d0,0.07741558392885843,6,Estimation
b1,0.0233431449664187,6,Estimation
d1,0.024421692179918714,6,Estimation
mu,0.0,7,Estimation
h_mu,7.601319489348112e-05,7,Estimation
nu,0.05557542475631732,7,Estimation
h_nu,-0.09886112193666236,7,Estimation
b0,0.0999986280402402,7,Estimation
d0,0.060314963022023514,7,Estimation
d_d0,0.0765409851938463,7,Estimation
b1,0.04738923669892627,7,Estimation
d1,0.0499156844480348,7,Estimation
mu,0.001463879439078216,8,Estimation
h_mu,6.748789263124244e-05,8,Estimation
nu,0.0,8,Estimation
h_nu,-0.1,8,Estimation
b0,0.08767352574895114,8,Estimation
d0,0.04374315350606083,8,Estimation
d_d0,0.08776345894739655,8,Estimation
b1,0.005253082020386973,8,Estimation
d1,0.008681433927466183,8,Estimation
mu,0.0,9,Estimation
h_mu,6.70955687876894e-05,9,Estimation
nu,0.0,9,Estimation
h_nu,-0.04573253732243926,9,Estimation
b0,0.07006088467077583,9,Estimation
d0,0.029939053371218438,9,Estimation
d_d0,0.0793358792097865,9,Estimation
b1,0.07571605878362637,9,Estimation
d1,0.07678899764742916,9,Estimation
mu,0.0,10,Estimation
h_mu,6.769290763592019e-05,10,Estimation
nu,0.0,10,Estimation
h_nu,-0.1,10,Estimation
b0,0.1,10,Estimation
d0,0.060145873029471573,10,Estimation
d_d0,0.07916040225112472,10,Estimation
b1,0.03645202043264664,10,Estimation
d1,0.03797965848898844,10,Estimation
mu,0.0,11,Estimation
h_mu,4.880242101263607e-05,11,Estimation
nu,0.0,11,Estimation
h_nu,-0.1,11,Estimation
b0,0.09389371059572521,11,Estimation
d0,0.05582052924018669,11,Estimation
d_d0,0.07799706253849051,11,Estimation
b1,0.005789616427021511,11,Estimation
d1,0.006152242174354049,11,Estimation
mu,8.298821599055507e-05,12,Estimation
h_mu,4.912293825358645e-05,12,Estimation
nu,0.0,12,Estimation
h_nu,-0.04573253732243926,12,Estimation
b0,0.0686424515238133,12,Estimation
d0,0.03135646777143887,12,Estimation
d_d0,0.07791660784383335,12,Estimation
b1,0.04928260358282262,12,Estimation
d1,0.05010434429920152,12,Estimation
mu,0.002473441910920841,13,Estimation
h_mu,6.726824373100521e-05,13,Estimation
nu,0.0,13,Estimation
h_nu,-0.1,13,Estimation
b0,0.05324584003395719,13,Estimation
d0,0.007656193263494911,13,Estimation
d_d0,0.09365151774840552,13,Estimation
b1,0.0005980710722349442,13,Estimation
d1,0.004642663744246227,13,Estimation
mu,0.0001867740396248808,14,Estimation
h_mu,4.77140442288883e-05,14,Estimation
nu,0.0,14,Estimation
h_nu,-0.04573253732243926,14,Estimation
b0,0.0717176259770481,14,Estimation
d0,0.028282542116752348,14,Estimation
d_d0,0.08448436101894348,14,Estimation
b1,0.06898774257184234,14,Estimation
d1,0.06918069019138996,14,Estimation
mu,0.0009773671737635372,15,Estimation
h_mu,5.342285801892828e-05,15,Estimation
nu,0.05557542475631732,15,Estimation
h_nu,-0.09886112193666236,15,Estimation
b0,0.0923903437500307,15,Estimation
d0,0.05112871639510097,15,Estimation
d_d0,0.08475691217902769,15,Estimation
b1,0.07167867384051389,15,Estimation
d1,0.07353310191876355,15,Estimation
mu,0.0,16,Estimation
h_mu,8.44013687450668e-05,16,Estimation
nu,0.05557542475631732,16,Estimation
h_nu,-0.09886112193666236,16,Estimation
b0,0.0812313034558312,16,Estimation
d0,0.04286086305330248,16,Estimation
d_d0,0.07450569590301821,16,Estimation
b1,0.04027219294706797,16,Estimation
d1,0.04275635564480087,16,Estimation
mu,0.0007826259231530032,17,Estimation
h_mu,6.866656845682347e-05,17,Estimation
nu,0.05557542475631732,17,Estimation
h_nu,-0.09886112193666236,17,Estimation
b0,0.09247412820366757,17,Estimation
d0,0.04883599593097094,17,Estimation
d_d0,0.088623740029576,17,Estimation
b1,0.06415909032423417,17,Estimation
d1,0.06714394405038855,17,Estimation
mu,0.0,18,Estimation
h_mu,6.186308669090099e-05,18,Estimation
nu,0.05557542475631732,18,Estimation
h_nu,-0.09886112193666236,18,Estimation
b0,0.07769886186979724,18,Estimation
d0,0.035424306243501076,18,Estimation
d_d0,0.08567531352961175,18,Estimation
b1,0.049547909592277624,18,Estimation
d1,0.0506920754109415,18,Estimation
mu,0.0,19,Estimation
h_mu,6.833511285460483e-05,19,Estimation
nu,0.0,19,Estimation
h_nu,-0.1,19,Estimation
b0,0.1,19,Estimation
d0,0.05936819041014366,19,Estimation
d_d0,0.07942967686928819,19,Estimation
b1,6.160138458695082e-05,19,Estimation
d1,0.0014648831417675718,19,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
h_nu,-4e-05,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
