Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,6.751466561759029e-05,0,Estimation
nu,0.0029037893660431202,0,Estimation
h_nu,0.0,0,Estimation
b0,0.07003397856924873,0,Estimation
d0,0.029968193601241932,0,Estimation
d_d0,0.08250143995986355,0,Estimation
b1,0.050127742288936815,0,Estimation
d1,0.04987312030761124,0,Estimation
mu,0.000105955766447561,1,Estimation
h_mu,3.513106402594829e-05,1,Estimation
nu,0.0030821538967151832,1,Estimation
h_nu,-0.1,1,Estimation
b0,0.03889709120990678,1,Estimation
d0,7.50084518430534e-09,1,Estimation
d_d0,0.07858925404629438,1,Estimation
b1,0.08579529276344869,1,Estimation
d1,0.0843905806749406,1,Estimation
mu,0.0,2,Estimation
h_mu,4.7265003315338044e-05,2,Estimation
nu,0.0034014435141591494,2,Estimation
h_nu,-0.1,2,Estimation
b0,0.03883746282367511,2,Estimation
d0,7.119136660996823e-05,2,Estimation
d_d0,0.07729450088857692,2,Estimation
b1,0.0005326711030150884,2,Estimation
d1,0.0002472398999337365,2,Estimation
mu,0.0001448597075679892,3,Estimation
h_mu,4.0474721022751154e-05,3,Estimation
nu,0.0034679374397495254,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.03958368391607104,3,Estimation
d0,6.798162467975732e-07,3,Estimation
d_d0,0.07954639278269034,3,Estimation
b1,0.06154340882073758,3,Estimation
d1,0.0607970079110253,3,Estimation
mu,0.0,4,Estimation
h_mu,4.153366440445161e-05,4,Estimation
nu,0.004080940238912923,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.05999556018853642,4,Estimation
d0,0.021959418529856965,4,Estimation
d_d0,0.0757614803773974,4,Estimation
b1,0.08844994861024988,4,Estimation
d1,0.08824926320867425,4,Estimation
mu,9.473309739183751e-06,5,Estimation
h_mu,5.9053863119768974e-05,5,Estimation
nu,0.005041510264501796,5,Estimation
h_nu,-0.0010130146629278385,5,Estimation
b0,0.06943754169281727,5,Estimation
d0,0.02961730017068665,5,Estimation
d_d0,0.08007506079030222,5,Estimation
b1,0.03862415908378787,5,Estimation
d1,0.038941232446347805,5,Estimation
mu,0.0009333431143544364,6,Estimation
h_mu,4.643211213483706e-05,6,Estimation
nu,0.005224743942897688,6,Estimation
h_nu,-0.00013865526669991522,6,Estimation
b0,0.07032811062679123,6,Estimation
d0,0.029671240160069407,6,Estimation
d_d0,0.08428185240561899,6,Estimation
b1,0.04959321132306098,6,Estimation
d1,0.05032889565091231,6,Estimation
mu,0.000372362620804129,7,Estimation
h_mu,4.0414916365239e-05,7,Estimation
nu,0.005526466373950603,7,Estimation
h_nu,-0.01255128798180777,7,Estimation
b0,0.09610314453995063,7,Estimation
d0,0.05625572512192163,7,Estimation
d_d0,0.08071226862565307,7,Estimation
b1,0.07981737871471768,7,Estimation
d1,0.07928107586820922,7,Estimation
mu,0.0,8,Estimation
h_mu,7.710959096959795e-05,8,Estimation
nu,0.005303345690036921,8,Estimation
h_nu,-0.1,8,Estimation
b0,0.044849870007583795,8,Estimation
d0,0.004848153012485462,8,Estimation
d_d0,0.0837188335459979,8,Estimation
b1,0.0849561220660161,8,Estimation
d1,0.08719658860632204,8,Estimation
mu,0.00011734884165237158,9,Estimation
h_mu,4.221438839812709e-05,9,Estimation
nu,0.0033358442479958107,9,Estimation
h_nu,-0.0010760141283232085,9,Estimation
b0,0.069848908972268,9,Estimation
d0,0.0297137454193597,9,Estimation
d_d0,0.08328829072041082,9,Estimation
b1,0.04951542403866231,9,Estimation
d1,0.04893742860025311,9,Estimation
mu,0.00013622458696472907,10,Estimation
h_mu,4.9868396423792526e-05,10,Estimation
nu,0.005547718619612441,10,Estimation
h_nu,-0.0005547750031691849,10,Estimation
b0,0.05639021854607547,10,Estimation
d0,0.016969030250187086,10,Estimation
d_d0,0.07905562055487232,10,Estimation
b1,0.05111226214275617,10,Estimation
d1,0.05118938207332613,10,Estimation
mu,4.5173217953889734e-05,11,Estimation
h_mu,2.513649428200795e-05,11,Estimation
nu,0.0029925650612143318,11,Estimation
h_nu,-0.1,11,Estimation
b0,0.09999906161079024,11,Estimation
d0,0.060609940832045864,11,Estimation
d_d0,0.07756573472310394,11,Estimation
b1,0.057933814918837014,11,Estimation
d1,0.05490334820545963,11,Estimation
mu,0.00028620619926321607,12,Estimation
h_mu,3.3415693936966684e-05,12,Estimation
nu,0.0050805328267582465,12,Estimation
h_nu,-0.1,12,Estimation
b0,0.049468565164433216,12,Estimation
d0,0.010333395714278232,12,Estimation
d_d0,0.07718063554521715,12,Estimation
b1,0.08177531358816963,12,Estimation
d1,0.08052782841763792,12,Estimation
mu,0.0009908160031996374,13,Estimation
h_mu,5.2285661675978906e-05,13,Estimation
nu,0.0043132043680834155,13,Estimation
h_nu,-4.3132043975916014e-05,13,Estimation
b0,0.06739769234268261,13,Estimation
d0,0.025909184778067005,13,Estimation
d_d0,0.08496197669694715,13,Estimation
b1,0.0552393056577697,13,Estimation
d1,0.055624797791297975,13,Estimation
mu,0.00025391238376468324,14,Estimation
h_mu,3.424001668506854e-05,14,Estimation
nu,0.004249423637250592,14,Estimation
h_nu,-8.498934335092883e-05,14,Estimation
