Parameter,Value,Run,Type
mu,0.0022796641508953013,0,Estimation
h_mu,5.3385540430291065e-05,0,Estimation
nu,0.004193596932850417,0,Estimation
h_nu,-4.4563721772106946e-05,0,Estimation
b0,0.04647162004554833,0,Estimation
d0,0.004748366537056446,0,Estimation
d_d0,0.08208425326742648,0,Estimation
b1,0.04928872909404168,0,Estimation
d1,0.04906472947560993,0,Estimation
mu,0.0022796641508953013,1,Estimation
h_mu,5.3385540430291065e-05,1,Estimation
nu,0.004193596932850417,1,Estimation
h_nu,-4.4563721772106946e-05,1,Estimation
b0,0.04647162004554833,1,Estimation
d0,0.004748366537056446,1,Estimation
d_d0,0.08208425326742648,1,Estimation
b1,0.04928872909404168,1,Estimation
d1,0.04906472947560993,1,Estimation
mu,0.0022796641508953013,2,Estimation
h_mu,5.3385540430291065e-05,2,Estimation
nu,0.004193596932850417,2,Estimation
h_nu,-4.4563721772106946e-05,2,Estimation
b0,0.04647162004554833,2,Estimation
d0,0.004748366537056446,2,Estimation
d_d0,0.08208425326742648,2,Estimation
b1,0.04928872909404168,2,Estimation
d1,0.04906472947560993,2,Estimation
mu,0.0022796641508953013,3,Estimation
h_mu,5.3385540430291065e-05,3,Estimation
nu,0.004193596932850417,3,Estimation
h_nu,-4.4563721772106946e-05,3,Estimation
b0,0.04647162004554833,3,Estimation
d0,0.004748366537056446,3,Estimation
d_d0,0.08208425326742648,3,Estimation
b1,0.04928872909404168,3,Estimation
d1,0.04906472947560993,3,Estimation
mu,0.0022796641508953013,4,Estimation
h_mu,5.3385540430291065e-05,4,Estimation
nu,0.004193596932850417,4,Estimation
h_nu,-4.4563721772106946e-05,4,Estimation
b0,0.04647162004554833,4,Estimation
d0,0.004748366537056446,4,Estimation
d_d0,0.08208425326742648,4,Estimation
b1,0.04928872909404168,4,Estimation
d1,0.04906472947560993,4,Estimation
mu,0.0022796641508953013,5,Estimation
h_mu,5.3385540430291065e-05,5,Estimation
nu,0.004193596932850417,5,Estimation
h_nu,-4.4563721772106946e-05,5,Estimation
b0,0.04647162004554833,5,Estimation
d0,0.004748366537056446,5,Estimation
d_d0,0.08208425326742648,5,Estimation
b1,0.04928872909404168,5,Estimation
d1,0.04906472947560993,5,Estimation
mu,0.0022796641508953013,6,Estimation
h_mu,5.3385540430291065e-05,6,Estimation
nu,0.004193596932850417,6,Estimation
h_nu,-4.4563721772106946e-05,6,Estimation
b0,0.04647162004554833,6,Estimation
d0,0.004748366537056446,6,Estimation
d_d0,0.08208425326742648,6,Estimation
b1,0.04928872909404168,6,Estimation
d1,0.04906472947560993,6,Estimation
mu,0.0022796641508953013,7,Estimation
h_mu,5.3385540430291065e-05,7,Estimation
nu,0.004193596932850417,7,Estimation
h_nu,-4.4563721772106946e-05,7,Estimation
b0,0.04647162004554833,7,Estimation
d0,0.004748366537056446,7,Estimation
d_d0,0.08208425326742648,7,Estimation
b1,0.04928872909404168,7,Estimation
d1,0.04906472947560993,7,Estimation
mu,0.0022796641508953013,8,Estimation
h_mu,5.3385540430291065e-05,8,Estimation
nu,0.004193596932850417,8,Estimation
h_nu,-4.4563721772106946e-05,8,Estimation
b0,0.04647162004554833,8,Estimation
d0,0.004748366537056446,8,Estimation
d_d0,0.08208425326742648,8,Estimation
b1,0.04928872909404168,8,Estimation
d1,0.04906472947560993,8,Estimation
mu,0.0022796641508953013,9,Estimation
h_mu,5.3385540430291065e-05,9,Estimation
nu,0.004193596932850417,9,Estimation
h_nu,-4.4563721772106946e-05,9,Estimation
b0,0.04647162004554833,9,Estimation
d0,0.004748366537056446,9,Estimation
d_d0,0.08208425326742648,9,Estimation
b1,0.04928872909404168,9,Estimation
d1,0.04906472947560993,9,Estimation
mu,0.0022796641508953013,10,Estimation
h_mu,5.3385540430291065e-05,10,Estimation
nu,0.004193596932850417,10,Estimation
h_nu,-4.4563721772106946e-05,10,Estimation
b0,0.04647162004554833,10,Estimation
d0,0.004748366537056446,10,Estimation
d_d0,0.08208425326742648,10,Estimation
b1,0.04928872909404168,10,Estimation
d1,0.04906472947560993,10,Estimation
mu,0.0022796641508953013,11,Estimation
h_mu,5.3385540430291065e-05,11,Estimation
nu,0.004193596932850417,11,Estimation
h_nu,-4.4563721772106946e-05,11,Estimation
b0,0.04647162004554833,11,Estimation
d0,0.004748366537056446,11,Estimation
d_d0,0.08208425326742648,11,Estimation
b1,0.04928872909404168,11,Estimation
d1,0.04906472947560993,11,Estimation
mu,0.0022796641508953013,12,Estimation
h_mu,5.3385540430291065e-05,12,Estimation
nu,0.004193596932850417,12,Estimation
h_nu,-4.4563721772106946e-05,12,Estimation
b0,0.04647162004554833,12,Estimation
d0,0.004748366537056446,12,Estimation
d_d0,0.08208425326742648,12,Estimation
b1,0.04928872909404168,12,Estimation
d1,0.04906472947560993,12,Estimation
mu,0.0022796641508953013,13,Estimation
h_mu,5.3385540430291065e-05,13,Estimation
nu,0.004193596932850417,13,Estimation
h_nu,-4.4563721772106946e-05,13,Estimation
b0,0.04647162004554833,13,Estimation
d0,0.004748366537056446,13,Estimation
d_d0,0.08208425326742648,13,Estimation
b1,0.04928872909404168,13,Estimation
d1,0.04906472947560993,13,Estimation
mu,0.0022796641508953013,14,Estimation
h_mu,5.3385540430291065e-05,14,Estimation
nu,0.004193596932850417,14,Estimation
h_nu,-4.4563721772106946e-05,14,Estimation
b0,0.04647162004554833,14,Estimation
d0,0.004748366537056446,14,Estimation
d_d0,0.08208425326742648,14,Estimation
b1,0.04928872909404168,14,Estimation
d1,0.04906472947560993,14,Estimation
mu,0.0022796641508953013,15,Estimation
h_mu,5.3385540430291065e-05,15,Estimation
nu,0.004193596932850417,15,Estimation
h_nu,-4.4563721772106946e-05,15,Estimation
b0,0.04647162004554833,15,Estimation
d0,0.004748366537056446,15,Estimation
d_d0,0.08208425326742648,15,Estimation
b1,0.04928872909404168,15,Estimation
d1,0.04906472947560993,15,Estimation
mu,0.0022796641508953013,16,Estimation
h_mu,5.3385540430291065e-05,16,Estimation
nu,0.004193596932850417,16,Estimation
h_nu,-4.4563721772106946e-05,16,Estimation
b0,0.04647162004554833,16,Estimation
d0,0.004748366537056446,16,Estimation
d_d0,0.08208425326742648,16,Estimation
b1,0.04928872909404168,16,Estimation
d1,0.04906472947560993,16,Estimation
mu,0.0022796641508953013,17,Estimation
h_mu,5.3385540430291065e-05,17,Estimation
nu,0.004193596932850417,17,Estimation
h_nu,-4.4563721772106946e-05,17,Estimation
b0,0.04647162004554833,17,Estimation
d0,0.004748366537056446,17,Estimation
d_d0,0.08208425326742648,17,Estimation
b1,0.04928872909404168,17,Estimation
d1,0.04906472947560993,17,Estimation
mu,0.0022796641508953013,18,Estimation
h_mu,5.3385540430291065e-05,18,Estimation
nu,0.004193596932850417,18,Estimation
h_nu,-4.4563721772106946e-05,18,Estimation
b0,0.04647162004554833,18,Estimation
d0,0.004748366537056446,18,Estimation
d_d0,0.08208425326742648,18,Estimation
b1,0.04928872909404168,18,Estimation
d1,0.04906472947560993,18,Estimation
mu,0.0022796641508953013,19,Estimation
h_mu,5.3385540430291065e-05,19,Estimation
nu,0.004193596932850417,19,Estimation
h_nu,-4.4563721772106946e-05,19,Estimation
b0,0.04647162004554833,19,Estimation
d0,0.004748366537056446,19,Estimation
d_d0,0.08208425326742648,19,Estimation
b1,0.04928872909404168,19,Estimation
d1,0.04906472947560993,19,Estimation
f0_init,0.9503470462379906,0,Estimation
f0_init,0.9503470462379906,1,Estimation
f0_init,0.9503470462379906,2,Estimation
