Parameter,Value,Run,Type
mu,0.0003103851994174368,0,Estimation
h_mu,2.642845804556717e-05,0,Estimation
nu,0.003036974204973484,0,Estimation
b0,0.09847086861533795,0,Estimation
d0,0.059433101131064134,0,Estimation
d_d0,0.07665108888021135,0,Estimation
b1,0.05101719439076926,0,Estimation
d1,0.048980873687103195,0,Estimation
mu,0.0001627702042433119,1,Estimation
h_mu,4.5277443768673576e-05,1,Estimation
nu,0.0035356225803924606,1,Estimation
b0,0.03916660308975808,1,Estimation
d0,0.0,1,Estimation
d_d0,0.07783659065631611,1,Estimation
b1,0.048539877397066625,1,Estimation
d1,0.04824958529053349,1,Estimation
mu,0.0006413689645989202,2,Estimation
h_mu,3.969113481991202e-05,2,Estimation
nu,0.003587533902453472,2,Estimation
b0,0.07000283052326559,2,Estimation
d0,0.029817494847141343,2,Estimation
d_d0,0.07985667199373277,2,Estimation
b1,0.06840097921647618,2,Estimation
d1,0.06849988403714496,2,Estimation
mu,0.0002225335027265772,3,Estimation
h_mu,5.23152788430735e-05,3,Estimation
nu,0.003169676400225454,3,Estimation
b0,0.09868096846410271,3,Estimation
d0,0.05882122895365165,3,Estimation
d_d0,0.0791930740765436,3,Estimation
b1,0.049783457375867174,3,Estimation
d1,0.05018583084632029,3,Estimation
mu,0.0003171723102568982,4,Estimation
h_mu,3.166133237250672e-05,4,Estimation
nu,0.0028232223775614025,4,Estimation
b0,0.06964976339144249,4,Estimation
d0,0.029930899895113848,4,Estimation
d_d0,0.07893598186039015,4,Estimation
b1,0.07477035065562929,4,Estimation
d1,0.07353341626391667,4,Estimation
mu,0.00036342524130741785,5,Estimation
h_mu,2.9344364763837705e-05,5,Estimation
nu,0.0028266342332706027,5,Estimation
b0,0.04119467532731642,5,Estimation
d0,0.00026468495546053356,5,Estimation
d_d0,0.08297991045107884,5,Estimation
b1,0.05107763031826231,5,Estimation
d1,0.048765578635135524,5,Estimation
mu,0.0,6,Estimation
h_mu,5.008482024874746e-05,6,Estimation
nu,0.003702927996869075,6,Estimation
b0,0.09100773101493025,6,Estimation
d0,0.051758843495864106,6,Estimation
d_d0,0.07907459851104037,6,Estimation
b1,0.04765184405143437,6,Estimation
d1,0.046279411720716826,6,Estimation
mu,8.423755196901849e-05,7,Estimation
h_mu,5.048733915346472e-05,7,Estimation
nu,0.003135659650865528,7,Estimation
b0,0.09825434952382141,7,Estimation
d0,0.057744023193706306,7,Estimation
d_d0,0.08332764204651508,7,Estimation
b1,0.050616259547686386,7,Estimation
d1,0.049190271277363154,7,Estimation
mu,0.0,8,Estimation
h_mu,0.0005164647935714677,8,Estimation
nu,0.009117923171005312,8,Estimation
b0,0.039337664054506345,8,Estimation
d0,0.00011306917282524619,8,Estimation
d_d0,0.0782056604438429,8,Estimation
b1,0.04033638088145254,8,Estimation
d1,0.05562262824571852,8,Estimation
mu,0.00045635435889959165,9,Estimation
h_mu,3.753910588371822e-05,9,Estimation
nu,0.004136954863146637,9,Estimation
b0,0.07006687462018048,9,Estimation
d0,0.029651588068506964,9,Estimation
d_d0,0.08140194125522725,9,Estimation
b1,0.05896287209886525,9,Estimation
d1,0.05728365780249513,9,Estimation
mu,0.00039946687265339693,10,Estimation
