Parameter,Value,Run,Type
mu,0.0022798054108468494,0,Estimation
h_mu,5.338633146338519e-05,0,Estimation
nu,0.004193702001257865,0,Estimation
h_nu,-4.456549724381783e-05,0,Estimation
b0,0.0776057505404662,0,Estimation
d0,0.03588234841162298,0,Estimation
d_d0,0.0820845268351036,0,Estimation
b1,0.04327756475159195,0,Estimation
d1,0.043053875781968495,0,Estimation
mu,0.0022798054108468494,1,Estimation
h_mu,5.338633146338519e-05,1,Estimation
nu,0.004193702001257865,1,Estimation
h_nu,-4.456549724381783e-05,1,Estimation
b0,0.0776057505404662,1,Estimation
d0,0.03588234841162298,1,Estimation
d_d0,0.0820845268351036,1,Estimation
b1,0.04327756475159195,1,Estimation
d1,0.043053875781968495,1,Estimation
mu,0.0022798054108468494,2,Estimation
h_mu,5.338633146338519e-05,2,Estimation
nu,0.004193702001257865,2,Estimation
h_nu,-4.456549724381783e-05,2,Estimation
b0,0.0776057505404662,2,Estimation
d0,0.03588234841162298,2,Estimation
d_d0,0.0820845268351036,2,Estimation
b1,0.04327756475159195,2,Estimation
d1,0.043053875781968495,2,Estimation
mu,0.0022798054108468494,3,Estimation
h_mu,5.338633146338519e-05,3,Estimation
nu,0.004193702001257865,3,Estimation
h_nu,-4.456549724381783e-05,3,Estimation
b0,0.0776057505404662,3,Estimation
d0,0.03588234841162298,3,Estimation
d_d0,0.0820845268351036,3,Estimation
b1,0.04327756475159195,3,Estimation
d1,0.043053875781968495,3,Estimation
mu,0.0022798054108468494,4,Estimation
h_mu,5.338633146338519e-05,4,Estimation
nu,0.004193702001257865,4,Estimation
h_nu,-4.456549724381783e-05,4,Estimation
b0,0.0776057505404662,4,Estimation
d0,0.03588234841162298,4,Estimation
d_d0,0.0820845268351036,4,Estimation
b1,0.04327756475159195,4,Estimation
d1,0.043053875781968495,4,Estimation
mu,0.0022798054108468494,5,Estimation
h_mu,5.338633146338519e-05,5,Estimation
nu,0.004193702001257865,5,Estimation
h_nu,-4.456549724381783e-05,5,Estimation
b0,0.0776057505404662,5,Estimation
d0,0.03588234841162298,5,Estimation
d_d0,0.0820845268351036,5,Estimation
b1,0.04327756475159195,5,Estimation
d1,0.043053875781968495,5,Estimation
mu,0.0022798054108468494,6,Estimation
h_mu,5.338633146338519e-05,6,Estimation
nu,0.004193702001257865,6,Estimation
h_nu,-4.456549724381783e-05,6,Estimation
b0,0.0776057505404662,6,Estimation
d0,0.03588234841162298,6,Estimation
d_d0,0.0820845268351036,6,Estimation
b1,0.04327756475159195,6,Estimation
d1,0.043053875781968495,6,Estimation
mu,0.0022798054108468494,7,Estimation
h_mu,5.338633146338519e-05,7,Estimation
nu,0.004193702001257865,7,Estimation
h_nu,-4.456549724381783e-05,7,Estimation
b0,0.0776057505404662,7,Estimation
d0,0.03588234841162298,7,Estimation
d_d0,0.0820845268351036,7,Estimation
b1,0.04327756475159195,7,Estimation
d1,0.043053875781968495,7,Estimation
mu,0.0022798054108468494,8,Estimation
h_mu,5.338633146338519e-05,8,Estimation
nu,0.004193702001257865,8,Estimation
h_nu,-4.456549724381783e-05,8,Estimation
b0,0.0776057505404662,8,Estimation
d0,0.03588234841162298,8,Estimation
d_d0,0.0820845268351036,8,Estimation
b1,0.04327756475159195,8,Estimation
d1,0.043053875781968495,8,Estimation
mu,0.0022798054108468494,9,Estimation
h_mu,5.338633146338519e-05,9,Estimation
nu,0.004193702001257865,9,Estimation
h_nu,-4.456549724381783e-05,9,Estimation
b0,0.0776057505404662,9,Estimation
d0,0.03588234841162298,9,Estimation
d_d0,0.0820845268351036,9,Estimation
b1,0.04327756475159195,9,Estimation
d1,0.043053875781968495,9,Estimation
mu,0.0022798054108468494,10,Estimation
h_mu,5.338633146338519e-05,10,Estimation
nu,0.004193702001257865,10,Estimation
h_nu,-4.456549724381783e-05,10,Estimation
b0,0.0776057505404662,10,Estimation
d0,0.03588234841162298,10,Estimation
d_d0,0.0820845268351036,10,Estimation
b1,0.04327756475159195,10,Estimation
d1,0.043053875781968495,10,Estimation
mu,0.0022798054108468494,11,Estimation
h_mu,5.338633146338519e-05,11,Estimation
nu,0.004193702001257865,11,Estimation
h_nu,-4.456549724381783e-05,11,Estimation
b0,0.0776057505404662,11,Estimation
d0,0.03588234841162298,11,Estimation
d_d0,0.0820845268351036,11,Estimation
b1,0.04327756475159195,11,Estimation
d1,0.043053875781968495,11,Estimation
mu,0.0022798054108468494,12,Estimation
h_mu,5.338633146338519e-05,12,Estimation
nu,0.004193702001257865,12,Estimation
h_nu,-4.456549724381783e-05,12,Estimation
b0,0.0776057505404662,12,Estimation
d0,0.03588234841162298,12,Estimation
d_d0,0.0820845268351036,12,Estimation
b1,0.04327756475159195,12,Estimation
d1,0.043053875781968495,12,Estimation
mu,0.0022798054108468494,13,Estimation
h_mu,5.338633146338519e-05,13,Estimation
nu,0.004193702001257865,13,Estimation
h_nu,-4.456549724381783e-05,13,Estimation
b0,0.0776057505404662,13,Estimation
d0,0.03588234841162298,13,Estimation
d_d0,0.0820845268351036,13,Estimation
b1,0.04327756475159195,13,Estimation
d1,0.043053875781968495,13,Estimation
mu,0.0022798054108468494,14,Estimation
h_mu,5.338633146338519e-05,14,Estimation
nu,0.004193702001257865,14,Estimation
h_nu,-4.456549724381783e-05,14,Estimation
b0,0.0776057505404662,14,Estimation
d0,0.03588234841162298,14,Estimation
d_d0,0.0820845268351036,14,Estimation
b1,0.04327756475159195,14,Estimation
d1,0.043053875781968495,14,Estimation
mu,0.0022798054108468494,15,Estimation
h_mu,5.338633146338519e-05,15,Estimation
nu,0.004193702001257865,15,Estimation
h_nu,-4.456549724381783e-05,15,Estimation
b0,0.0776057505404662,15,Estimation
d0,0.03588234841162298,15,Estimation
d_d0,0.0820845268351036,15,Estimation
b1,0.04327756475159195,15,Estimation
d1,0.043053875781968495,15,Estimation
mu,0.0022798054108468494,16,Estimation
h_mu,5.338633146338519e-05,16,Estimation
nu,0.004193702001257865,16,Estimation
h_nu,-4.456549724381783e-05,16,Estimation
b0,0.0776057505404662,16,Estimation
d0,0.03588234841162298,16,Estimation
d_d0,0.0820845268351036,16,Estimation
b1,0.04327756475159195,16,Estimation
d1,0.043053875781968495,16,Estimation
mu,0.0022798054108468494,17,Estimation
h_mu,5.338633146338519e-05,17,Estimation
nu,0.004193702001257865,17,Estimation
