Parameter,Value,Run,Type
mu,0.0007494324861291899,0,Estimation
h_mu,4.023162587825469e-05,0,Estimation
nu,0.004459851751572696,0,Estimation
h_nu,-4.4599677944634456e-05,0,Estimation
b0,0.07006374626729346,0,Estimation
d0,0.029869075845522248,0,Estimation
d_d0,0.07828252675645349,0,Estimation
b1,0.0704175662128065,0,Estimation
d1,0.0695552567564472,0,Estimation
mu,0.0,1,Estimation
h_mu,6.599270700707572e-05,1,Estimation
nu,0.0069296678309994,1,Estimation
h_nu,-0.04545356051300017,1,Estimation
b0,0.06963134212314952,1,Estimation
d0,0.03035661664800213,1,Estimation
d_d0,0.07853893096349625,1,Estimation
b1,0.0717775518220235,1,Estimation
d1,0.07253393723412048,1,Estimation
mu,0.0,2,Estimation
h_mu,3.875900739838116e-05,2,Estimation
nu,0.005326613965808447,2,Estimation
h_nu,-0.0007847363014562234,2,Estimation
b0,0.06958944151342457,2,Estimation
d0,0.030358374705856186,2,Estimation
d_d0,0.07864002382147613,2,Estimation
b1,0.07001832213064171,2,Estimation
d1,0.06972494040658668,2,Estimation
mu,0.0,3,Estimation
h_mu,3.980873729796827e-05,3,Estimation
nu,0.0054548787070863676,3,Estimation
h_nu,-0.00045913012822548685,3,Estimation
b0,0.06958233900015932,3,Estimation
d0,0.030337659669542282,3,Estimation
d_d0,0.07667276953764847,3,Estimation
b1,0.06842732745655707,3,Estimation
d1,0.06772461788258811,3,Estimation
mu,0.0,4,Estimation
h_mu,5.824964807792683e-05,4,Estimation
nu,0.005149346690228458,4,Estimation
h_nu,-0.09783596747915974,4,Estimation
b0,0.09499279730207938,4,Estimation
d0,0.05546143367755333,4,Estimation
d_d0,0.07754004856874028,4,Estimation
b1,0.06803212538706177,4,Estimation
d1,0.0691777522610839,4,Estimation
mu,0.0,5,Estimation
h_mu,5.8223396582678035e-05,5,Estimation
nu,0.006283457631693282,5,Estimation
h_nu,-0.1,5,Estimation
b0,0.09991241075924663,5,Estimation
d0,0.06028274080345667,5,Estimation
d_d0,0.0815397060180451,5,Estimation
b1,0.04669486234481093,5,Estimation
d1,0.04801864222412517,5,Estimation
mu,0.0,6,Estimation
h_mu,4.432480710120661e-05,6,Estimation
nu,0.0055397905840362735,6,Estimation
h_nu,-0.1,6,Estimation
b0,0.09949311988356616,6,Estimation
d0,0.05989811671362344,6,Estimation
d_d0,0.07742579801878885,6,Estimation
b1,0.009278969909385603,6,Estimation
d1,0.009398850948007095,6,Estimation
mu,0.0,7,Estimation
h_mu,3.896930579962769e-05,7,Estimation
nu,0.006302881102975787,7,Estimation
h_nu,-0.04587085114560957,7,Estimation
b0,0.06546519710100863,7,Estimation
d0,0.026128845197595802,7,Estimation
d_d0,0.07857783050886882,7,Estimation
b1,0.059383972060028926,7,Estimation
d1,0.05933730756701694,7,Estimation
mu,0.0,8,Estimation
h_mu,5.732107510384014e-05,8,Estimation
nu,0.006870376167654999,8,Estimation
h_nu,-0.09886112193666236,8,Estimation
b0,0.040317254547967696,8,Estimation
d0,0.0015470250535393225,8,Estimation
d_d0,0.07466223516034955,8,Estimation
b1,0.09730224789200682,8,Estimation
d1,0.09813799429224476,8,Estimation
mu,0.0,9,Estimation
h_mu,4.46529225841137e-05,9,Estimation
nu,0.006468151268579095,9,Estimation
h_nu,-0.09886112193666236,9,Estimation
b0,0.09999976015614372,9,Estimation
d0,0.06051620396131101,9,Estimation
d_d0,0.07779343215941434,9,Estimation
b1,0.0692821617460711,9,Estimation
d1,0.06934822456190885,9,Estimation
mu,0.00016608547251114523,10,Estimation
h_mu,4.076110934739891e-05,10,Estimation
nu,0.00409998793426799,10,Estimation
