Parameter,Value,Run,Type
mu,0.000718574387313762,0,Estimation
h_mu,3.625786165466261e-05,0,Estimation
nu,0.004733261201542638,0,Estimation
h_nu,-6.443408417679863e-05,0,Estimation
b0,0.04022802567753254,0,Estimation
d0,0.0,0,Estimation
d_d0,0.07947704302901326,0,Estimation
b1,0.022134916684736182,0,Estimation
d1,0.02097133034719312,0,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
h_nu,-4e-05,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
