Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,3.481195820269368e-05,0,Estimation
nu,0.0034997313125512573,0,Estimation
h_nu,-5.0182075393320705e-05,0,Estimation
b0,0.04766445730946666,0,Estimation
d0,0.007110821055923201,0,Estimation
d_d0,0.0801442542804948,0,Estimation
b1,0.04808015850522485,0,Estimation
d1,0.04659894076474887,0,Estimation
mu,0.0,1,Estimation
h_mu,8.450483034952814e-05,1,Estimation
nu,0.006139193473893331,1,Estimation
h_nu,-0.0012105619467300773,1,Estimation
b0,0.09999984786686686,1,Estimation
d0,0.060137431804228814,1,Estimation
d_d0,0.08181764961626828,1,Estimation
b1,0.042022133164847576,1,Estimation
d1,0.043989427052563576,1,Estimation
mu,0.0,2,Estimation
h_mu,6.391317220600722e-05,2,Estimation
nu,0.005114174382353009,2,Estimation
h_nu,-0.0015666114036957262,2,Estimation
b0,0.09922417508487322,2,Estimation
d0,0.05975919206604541,2,Estimation
d_d0,0.0783860475018569,2,Estimation
b1,0.05174816937284491,2,Estimation
d1,0.05256940188552585,2,Estimation
mu,0.0036509464232762057,3,Estimation
h_mu,4.992713014350913e-05,3,Estimation
nu,0.0041111389453977396,3,Estimation
h_nu,-0.00011182850642631134,3,Estimation
b0,0.07225368755220027,3,Estimation
d0,0.027393830693407777,3,Estimation
d_d0,0.08795944801881438,3,Estimation
b1,0.0407330870361167,3,Estimation
d1,0.04297640902886262,3,Estimation
mu,0.0005569600634731997,4,Estimation
h_mu,2.5559303185402772e-05,4,Estimation
nu,0.004299849940415733,4,Estimation
h_nu,-7.006132845455805e-05,4,Estimation
b0,0.04628068417097996,4,Estimation
d0,0.006321172248277284,4,Estimation
d_d0,0.08004936649321072,4,Estimation
b1,0.026269597644036666,4,Estimation
d1,0.025127136587303128,4,Estimation
mu,0.0,5,Estimation
h_mu,7.090110330776042e-05,5,Estimation
nu,0.003539788087903968,5,Estimation
h_nu,-2.3441067829017174e-05,5,Estimation
b0,0.06885170791704955,5,Estimation
d0,0.02905221368568408,5,Estimation
d_d0,0.0796178123021529,5,Estimation
b1,0.04463040770589789,5,Estimation
d1,0.044392599600023674,5,Estimation
mu,0.0,6,Estimation
h_mu,7.026189937302578e-05,6,Estimation
nu,0.005371596609621257,6,Estimation
h_nu,-0.0054475044837565155,6,Estimation
b0,0.040987012071866516,6,Estimation
d0,0.0017794510485239523,6,Estimation
d_d0,0.0772463899315971,6,Estimation
b1,0.09126447908049866,6,Estimation
d1,0.09333749213600395,6,Estimation
mu,0.0,7,Estimation
h_mu,6.325468830184582e-05,7,Estimation
nu,0.0049308291402335456,7,Estimation
h_nu,-0.004932705723368801,7,Estimation
b0,0.08583191218602275,7,Estimation
d0,0.04622778111024037,7,Estimation
d_d0,0.07987658688870371,7,Estimation
b1,0.04921067299559343,7,Estimation
d1,0.05034655243115628,7,Estimation
mu,0.0,8,Estimation
h_mu,5.463779815477101e-05,8,Estimation
nu,0.0057218952194362,8,Estimation
h_nu,-0.0009622476087078458,8,Estimation
b0,0.08092745406500759,8,Estimation
d0,0.04071664391056368,8,Estimation
d_d0,0.08284656232383271,8,Estimation
b1,0.07285363197645751,8,Estimation
d1,0.07374480476582784,8,Estimation
mu,0.0,9,Estimation
h_mu,6.179002764277929e-05,9,Estimation
nu,0.005928004561837992,9,Estimation
h_nu,-0.0004936517539218343,9,Estimation
b0,0.1,9,Estimation
d0,0.06090580420911795,9,Estimation
d_d0,0.07874928718097052,9,Estimation
b1,0.09447166064855879,9,Estimation
d1,0.09529537463513184,9,Estimation
mu,0.0,10,Estimation
h_mu,5.8366659792481504e-05,10,Estimation
nu,0.005560895541330007,10,Estimation
h_nu,-0.0004933643476040884,10,Estimation
b0,0.03938405095249132,10,Estimation
d0,3.875657554213899e-05,10,Estimation
d_d0,0.07919423783428806,10,Estimation
b1,0.011030629058734677,10,Estimation
d1,0.011658634851401402,10,Estimation
mu,0.0,11,Estimation
