Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,2.1698272685756318e-05,0,Estimation
nu,0.005148460757373893,0,Estimation
h_nu,-0.1,0,Estimation
b0,0.09974863093753422,0,Estimation
d0,0.06144616965308488,0,Estimation
d_d0,0.07685512057287247,0,Estimation
b1,0.04526673967463483,0,Estimation
d1,0.042604868340857964,0,Estimation
mu,0.0,1,Estimation
h_mu,2.9709510838760794e-05,1,Estimation
nu,0.006388709347393301,1,Estimation
h_nu,-0.0006388827915717395,1,Estimation
b0,0.09803440611311101,1,Estimation
d0,0.058654285433421875,1,Estimation
d_d0,0.07876818775853722,1,Estimation
b1,0.0022661425827138837,1,Estimation
d1,0.0006280701517031961,1,Estimation
mu,0.0001531955506778491,2,Estimation
h_mu,3.9575894012373205e-05,2,Estimation
nu,0.003529245293496008,2,Estimation
h_nu,-0.0007059599877888578,2,Estimation
b0,0.06308463542233056,2,Estimation
d0,0.023788014716867468,2,Estimation
d_d0,0.07827058044962695,2,Estimation
b1,0.07949951931405712,2,Estimation
d1,0.07829935291713674,2,Estimation
mu,0.0003708989429679341,3,Estimation
h_mu,2.9575783296332582e-05,3,Estimation
nu,0.006178812638226022,3,Estimation
h_nu,-0.0007360178248070087,3,Estimation
b0,0.06893964374577813,3,Estimation
d0,0.030492287448604737,3,Estimation
d_d0,0.0747930146953007,3,Estimation
b1,0.050689286071288295,3,Estimation
d1,0.04920642074009843,3,Estimation
mu,0.0008751964182569494,4,Estimation
h_mu,9.4631417188279e-05,4,Estimation
nu,0.003974018576743934,4,Estimation
h_nu,-5.298945703046922e-05,4,Estimation
b0,0.06158413713028268,4,Estimation
d0,0.02049306070063297,4,Estimation
d_d0,0.0866122843691889,4,Estimation
b1,0.04632283969963722,4,Estimation
d1,0.04917018453390091,4,Estimation
mu,0.0002804319295797913,5,Estimation
h_mu,4.2331247890268545e-05,5,Estimation
nu,0.003029252889148162,5,Estimation
h_nu,-0.0001514662243609662,5,Estimation
b0,0.05371577945951553,5,Estimation
d0,0.014536935010634387,5,Estimation
d_d0,0.07622803765262581,5,Estimation
