Parameter,Value,Run,Type
mu,0.0004076349300563011,0,Estimation
h_mu,3.681711358763236e-05,0,Estimation
nu,0.008223075495941373,0,Estimation
b0,0.04219163132976017,0,Estimation
d0,0.0023060036044623895,0,Estimation
d_d0,0.08078993979510718,0,Estimation
b1,0.05240272994379055,0,Estimation
d1,0.04750532649374114,0,Estimation
mu,0.0003706921300202068,1,Estimation
h_mu,4.2006348699753084e-05,1,Estimation
nu,0.0036201215387994734,1,Estimation
b0,0.05107083478958291,1,Estimation
d0,0.0111354796591227,1,Estimation
d_d0,0.07977542479089059,1,Estimation
b1,0.04924711843581212,1,Estimation
d1,0.048591879761113746,1,Estimation
mu,0.0004034195481170544,2,Estimation
h_mu,4.2846793342274005e-05,2,Estimation
nu,0.0003224552709315291,2,Estimation
b0,0.08785157250103831,2,Estimation
d0,0.04779740615454084,2,Estimation
d_d0,0.07953485085498616,2,Estimation
b1,0.0441269554599632,2,Estimation
d1,0.0465004211931434,2,Estimation
mu,0.0003859198490287072,3,Estimation
h_mu,4.1759869064932856e-05,3,Estimation
nu,0.004382626682100658,3,Estimation
b0,0.06934006399380868,3,Estimation
d0,0.02932349894318167,3,Estimation
d_d0,0.07987160844380231,3,Estimation
b1,0.06949420844921175,3,Estimation
d1,0.06814121087266202,3,Estimation
mu,0.00041429076353731036,4,Estimation
h_mu,4.3248744710449866e-05,4,Estimation
nu,0.002511643891974352,4,Estimation
b0,0.040614759136210814,4,Estimation
d0,0.0006317999732713481,4,Estimation
d_d0,0.07999026894067257,4,Estimation
b1,0.04967592695474613,4,Estimation
d1,0.05009141380391196,4,Estimation
mu,0.0003360965831037899,5,Estimation
h_mu,3.544838639972542e-05,5,Estimation
nu,0.008401788917981545,5,Estimation
b0,0.04750327049975177,5,Estimation
d0,0.0075417435453515695,5,Estimation
d_d0,0.08022696957549014,5,Estimation
b1,0.05433771621097255,5,Estimation
d1,0.049112536029049594,5,Estimation
mu,0.00041615627724120655,6,Estimation
h_mu,4.813079124550291e-05,6,Estimation
nu,0.0006157900853947987,6,Estimation
b0,0.07616683729186202,6,Estimation
d0,0.035930246816159514,6,Estimation
d_d0,0.08017324584578504,6,Estimation
b1,0.04782966198409964,6,Estimation
d1,0.05005346571615598,6,Estimation
mu,0.00035851352151244285,7,Estimation
h_mu,3.306788607291874e-05,7,Estimation
nu,0.010223978661489707,7,Estimation
b0,0.07041617276134784,7,Estimation
d0,0.03057485735676677,7,Estimation
d_d0,0.08028829925378446,7,Estimation
b1,0.05081832314906358,7,Estimation
d1,0.04388765719074355,7,Estimation
mu,0.0004051034128517351,8,Estimation
h_mu,3.841728943278584e-05,8,Estimation
nu,0.003977319834422839,8,Estimation
b0,0.04385202086859585,8,Estimation
d0,0.0038616224308874836,8,Estimation
d_d0,0.07993342504592461,8,Estimation
b1,0.03428363652287428,8,Estimation
d1,0.03329470684282074,8,Estimation
mu,0.00038528829115621385,9,Estimation
h_mu,4.1501940852104383e-05,9,Estimation
nu,0.0032708791310008993,9,Estimation
b0,0.03990728126931123,9,Estimation
d0,0.0,9,Estimation
d_d0,0.07945149836646195,9,Estimation
b1,0.05019980713182235,9,Estimation
d1,0.049845812472543646,9,Estimation
mu,0.00036182271258677163,10,Estimation
h_mu,3.830358713344901e-05,10,Estimation
nu,0.007153956995501033,10,Estimation
b0,0.04708521582011586,10,Estimation
d0,0.007178219120523157,10,Estimation
d_d0,0.08006499978772298,10,Estimation
b1,0.0519475093083966,10,Estimation
d1,0.04797511625982438,10,Estimation
mu,0.00040721856318280393,11,Estimation
h_mu,4.206964990049362e-05,11,Estimation
nu,0.0025576605231536383,11,Estimation
b0,0.04210134567311327,11,Estimation
d0,0.0019680670222805914,11,Estimation
d_d0,0.08002992781441039,11,Estimation
b1,0.049733381716925214,11,Estimation
d1,0.05009160597938572,11,Estimation
mu,0.0003763816114540207,12,Estimation
h_mu,3.4444957971583323e-05,12,Estimation
nu,0.008414300084468593,12,Estimation
b0,0.0699329281843475,12,Estimation
d0,0.030029283413258608,12,Estimation
d_d0,0.08062271895874826,12,Estimation
b1,0.09171498906249201,12,Estimation
d1,0.0865274290684608,12,Estimation
mu,0.00043849009078727357,13,Estimation
h_mu,4.305992480433937e-05,13,Estimation
nu,0.0018587084731568507,13,Estimation
b0,0.055020628121763476,13,Estimation
d0,0.014964210345486438,13,Estimation
d_d0,0.07980027987119578,13,Estimation
b1,0.04658801764238881,13,Estimation
d1,0.04762470923161191,13,Estimation
mu,0.0003585712743976606,14,Estimation
h_mu,3.690788406025825e-05,14,Estimation
nu,0.008176795618097345,14,Estimation
b0,0.040060830330352806,14,Estimation
d0,0.0,14,Estimation
d_d0,0.0810009402728257,14,Estimation
b1,0.05030528872776588,14,Estimation
d1,0.04538175848197715,14,Estimation
mu,0.00037542240905243725,15,Estimation
h_mu,3.760993095601235e-05,15,Estimation
nu,0.007762563254708953,15,Estimation
b0,0.06980586048574774,15,Estimation
d0,0.029816852687244468,15,Estimation
d_d0,0.08040558628646281,15,Estimation
b1,0.08708778107969943,15,Estimation
d1,0.08256273895977238,15,Estimation
f0_init,0.9905835080583867,0,Estimation
f0_init,0.991365551726191,1,Estimation
f0_init,0.9905639827024746,2,Estimation
f0_init,0.991042993010278,3,Estimation
f0_init,0.9903506465107424,4,Estimation
f0_init,0.9922207082653143,5,Estimation
f0_init,0.9903404104681655,6,Estimation
f0_init,0.9917049442203544,7,Estimation
f0_init,0.9905826260723459,8,Estimation
f0_init,0.9910092470282577,9,Estimation
f0_init,0.991614585828394,10,Estimation
f0_init,0.9905459769973052,11,Estimation
f0_init,0.9912883362063033,12,Estimation
f0_init,0.9897956693518705,13,Estimation
f0_init,0.9917346073802036,14,Estimation
f0_init,0.9913286210188433,15,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
f0,0.9907057853780621,-1,True
