,Parameter,Value,Run,Type
0,mu,0.0024151972652111673,0,Estimation
1,h_mu,0.00012770420223933118,0,Estimation
2,nu,0.03144602319154492,0,Estimation
3,h_nu,-0.36787944117144233,0,Estimation
4,b0,0.04097781884343185,0,Estimation
5,d0,0.0021241947754500495,0,Estimation
6,d_d0,0.07520539666981092,0,Estimation
7,b1,0.7824288775159501,0,Estimation
8,d1,0.777766950685024,0,Estimation
9,mu,0.0007677650137561825,1,Estimation
10,h_mu,0.0004578577356053534,1,Estimation
11,nu,0.0532726359777494,1,Estimation
12,h_nu,-0.36787944117144233,1,Estimation
13,b0,0.0442406184207677,1,Estimation
14,d0,0.003042533845760974,1,Estimation
15,d_d0,0.07896347537791212,1,Estimation
16,b1,0.7558236331996766,1,Estimation
17,d1,0.7556465544362825,1,Estimation
18,mu,0.00012222807489830815,2,Estimation
19,h_mu,0.0006337045033639394,2,Estimation
20,nu,0.011479741237661219,2,Estimation
21,h_nu,-0.36787944117144233,2,Estimation
22,b0,0.04645899147319818,2,Estimation
23,d0,0.002704696915600627,2,Estimation
24,d_d0,0.08828876105728407,2,Estimation
25,b1,0.44354399642517917,2,Estimation
26,d1,0.444497027482694,2,Estimation
27,mu,0.26887192537617804,3,Estimation
28,h_mu,0.04996601695256191,3,Estimation
29,nu,28.94639054728079,3,Estimation
30,h_nu,-27.81176106432653,3,Estimation
31,b0,1.134520435434568,3,Estimation
32,d0,0.06223467776962405,3,Estimation
33,d_d0,2.139581159246219,3,Estimation
34,b1,0.07510546635757374,3,Estimation
35,d1,0.08184840692398698,3,Estimation
36,mu,4.943622477796777e-06,4,Estimation
37,h_mu,0.0005993228323046049,4,Estimation
38,nu,0.004948203815938401,4,Estimation
39,h_nu,-0.36787944117144233,4,Estimation
40,b0,0.04046319628346581,4,Estimation
41,d0,0.0009607444240118543,4,Estimation
42,d_d0,0.081007522298681,4,Estimation
43,b1,0.5389401926125014,4,Estimation
44,d1,0.5397187181730496,4,Estimation
45,mu,0.00027815989477997233,5,Estimation
46,h_mu,0.0005282372573559026,5,Estimation
47,nu,19.861287956959227,5,Estimation
48,h_nu,-23.204224063670726,5,Estimation
49,b0,0.05334693517652283,5,Estimation
50,d0,0.010440851707029426,5,Estimation
51,d_d0,0.08251995058426541,5,Estimation
52,b1,0.002100720153019868,5,Estimation
53,d1,0.0023627102224478063,5,Estimation
54,mu,1.2907588481004433e-06,6,Estimation
55,h_mu,0.00046421694800338216,6,Estimation
56,nu,0.006241745096956575,6,Estimation
57,h_nu,-0.36787944117144233,6,Estimation
58,b0,0.04603604168613426,6,Estimation
59,d0,0.00029678276628161704,6,Estimation
60,d_d0,0.09141055308318709,6,Estimation
61,b1,0.6511053338112167,6,Estimation
62,d1,0.6497879390479874,6,Estimation
63,mu,0.003167293454155443,7,Estimation
64,h_mu,0.0004106285052480906,7,Estimation
65,nu,0.00545218702332616,7,Estimation
66,h_nu,-0.36787944117144233,7,Estimation
67,b0,0.03945081364826405,7,Estimation
68,d0,0.00038710352382354435,7,Estimation
69,d_d0,0.07908769726419948,7,Estimation
70,b1,0.8851680392889328,7,Estimation
71,d1,0.8848665611717734,7,Estimation
72,mu,0.001626017976369001,8,Estimation
73,h_mu,0.0003511959887238039,8,Estimation
74,nu,0.024894159037915142,8,Estimation
75,h_nu,-0.36787944117144233,8,Estimation
76,b0,0.0542363778089205,8,Estimation
77,d0,0.010566193739701283,8,Estimation
78,d_d0,0.08714196795450659,8,Estimation
79,b1,0.5555899975557705,8,Estimation
80,d1,0.5538304251950845,8,Estimation
81,mu,0.000312349882922355,9,Estimation
82,h_mu,0.0005988482437858365,9,Estimation
83,nu,0.0220575546659357,9,Estimation
84,h_nu,-0.36787944117144233,9,Estimation
85,b0,0.04349427453721879,9,Estimation
86,d0,0.0018303926993564945,9,Estimation
87,d_d0,0.0826685451303624,9,Estimation
88,b1,0.3139210529013019,9,Estimation
89,d1,0.3145136832443495,9,Estimation
90,mu,7.594645785294672e-14,10,Estimation
91,h_mu,0.0006005886666580464,10,Estimation
92,nu,0.03716185609777534,10,Estimation
93,h_nu,-0.36787944117144233,10,Estimation
94,b0,0.03469101347253142,10,Estimation
95,d0,0.0008590384444693293,10,Estimation
96,d_d0,0.06867304132440977,10,Estimation
97,b1,0.22238500496774563,10,Estimation
98,d1,0.2242261633512213,10,Estimation
99,mu,8.721518489667463e-05,11,Estimation
100,h_mu,0.00033204606348598384,11,Estimation
101,nu,0.005097753528325237,11,Estimation
102,h_nu,-0.36787944117144233,11,Estimation
103,b0,0.042655630931471386,11,Estimation
104,d0,0.005754402634700489,11,Estimation
105,d_d0,0.07618970474902874,11,Estimation
106,b1,0.29456186361127695,11,Estimation
107,d1,0.29213848615173654,11,Estimation
108,mu,0.0002917231645441455,12,Estimation
109,h_mu,0.00024547069549813534,12,Estimation
110,nu,0.05016800784360358,12,Estimation
111,h_nu,-0.36787944117144233,12,Estimation
112,b0,0.04752797191289777,12,Estimation
113,d0,0.004209498309753368,12,Estimation
114,d_d0,0.0822261108067649,12,Estimation
115,b1,0.7774293311557438,12,Estimation
116,d1,0.7741465111964914,12,Estimation
117,mu,0.0006186278723117686,13,Estimation
118,h_mu,0.00034835821306508045,13,Estimation
119,nu,0.003803265822339314,13,Estimation
120,h_nu,-0.36787944117144233,13,Estimation
121,b0,0.039955847356866574,13,Estimation
122,d0,0.003499651777314998,13,Estimation
123,d_d0,0.07564859674070108,13,Estimation
124,b1,0.4486429468722794,13,Estimation
125,d1,0.44746989722745534,13,Estimation
126,mu,5.1401422184439756e-05,14,Estimation
127,h_mu,0.00041471650566215443,14,Estimation
128,nu,0.03262808099043451,14,Estimation
129,h_nu,-0.36787944117144233,14,Estimation
130,b0,0.06503966110713537,14,Estimation
131,d0,0.015526658447792933,14,Estimation
132,d_d0,0.09734307053663876,14,Estimation
133,b1,0.5205196544307337,14,Estimation
134,d1,0.5194084580732918,14,Estimation
135,mu,2.543018016354287e-05,15,Estimation
136,h_mu,0.0007280217634553922,15,Estimation
137,nu,8.220464304188482,15,Estimation
138,h_nu,-36.31775611393748,15,Estimation
139,b0,0.05419890455939303,15,Estimation
140,d0,0.007066533771273129,15,Estimation
141,d_d0,0.09075695876884343,15,Estimation
142,b1,0.003352493073884422,15,Estimation
143,d1,0.003706200537307825,15,Estimation
144,mu,1.3592687926867094e-05,16,Estimation
145,h_mu,0.0005321780354647908,16,Estimation
146,nu,0.017697930412833407,16,Estimation
147,h_nu,-0.36787944117144233,16,Estimation
148,b0,0.04280628079917014,16,Estimation
149,d0,0.0019645005805099254,16,Estimation
150,d_d0,0.08125912569414209,16,Estimation
151,b1,0.5244769507349559,16,Estimation
152,d1,0.5252446173017336,16,Estimation
153,mu,4.855498686012122e-05,17,Estimation
154,h_mu,0.0006126577220870715,17,Estimation
155,nu,9.576263038001263,17,Estimation
156,h_nu,-9.546835443697894,17,Estimation
157,b0,0.04220307422277941,17,Estimation
158,d0,0.00014013421077576174,17,Estimation
159,d_d0,0.08097127800693184,17,Estimation
160,b1,0.006295582947663931,17,Estimation
161,d1,0.007104333324134957,17,Estimation
162,mu,5.27217356065922e-08,18,Estimation
163,h_mu,0.0004878823282617122,18,Estimation
164,nu,0.0006969299054078329,18,Estimation
165,h_nu,-0.36787944117144233,18,Estimation
166,b0,0.04462258520908827,18,Estimation
167,d0,0.006525016114150122,18,Estimation
168,d_d0,0.08018750012666791,18,Estimation
169,b1,0.018015736519335652,18,Estimation
170,d1,0.017710117555674452,18,Estimation
171,mu,0.0003127842305269978,19,Estimation
172,h_mu,0.0007353675255509988,19,Estimation
173,nu,0.01600045113007192,19,Estimation
174,h_nu,-0.36787944117144233,19,Estimation
175,b0,0.04567086247301979,19,Estimation
176,d0,0.004103880397745906,19,Estimation
177,d_d0,0.08460050633177786,19,Estimation
178,b1,0.5294499287921963,19,Estimation
179,d1,0.5302390988766394,19,Estimation
180,mu,0.00012706431687633182,20,Estimation
181,h_mu,0.00023669050753249966,20,Estimation
182,nu,0.02234916053895041,20,Estimation
183,h_nu,-0.36787944117144233,20,Estimation
184,b0,0.04240242160997142,20,Estimation
185,d0,0.0040468620449131375,20,Estimation
186,d_d0,0.07545496859425005,20,Estimation
187,b1,0.6435626541598298,20,Estimation
188,d1,0.640514188901873,20,Estimation
189,mu,0.0005332771760693697,21,Estimation
190,h_mu,0.0004296819488611763,21,Estimation
191,nu,0.027609478547998733,21,Estimation
192,h_nu,-0.36787944117144233,21,Estimation
193,b0,0.051438579125257865,21,Estimation
194,d0,0.0026611391483401673,21,Estimation
195,d_d0,0.09454691268380949,21,Estimation
196,b1,0.6139945856825234,21,Estimation
197,d1,0.6131126726948684,21,Estimation
198,mu,0.00037493010756583915,22,Estimation
199,h_mu,0.0008319310203745493,22,Estimation
200,nu,13.196584266538565,22,Estimation
201,h_nu,-13.486249333390049,22,Estimation
202,b0,0.05515578306278647,22,Estimation
203,d0,0.006476162512452958,22,Estimation
204,d_d0,0.09403832547190705,22,Estimation
205,b1,0.012595844850269516,22,Estimation
206,d1,0.014580290037164606,22,Estimation
207,mu,0.0003236323719286942,23,Estimation
208,h_mu,0.00024501897284585585,23,Estimation
209,nu,0.027523406236355196,23,Estimation
210,h_nu,-0.36787944117144233,23,Estimation
211,b0,0.04436112693792021,23,Estimation
212,d0,0.002350444498862813,23,Estimation
213,d_d0,0.08141900973902753,23,Estimation
214,b1,0.8737290737743589,23,Estimation
215,d1,0.8705501425225487,23,Estimation
216,mu,0.00012511120575001117,24,Estimation
217,h_mu,0.0002806000391793634,24,Estimation
218,nu,0.012988305027227602,24,Estimation
219,h_nu,-0.36787944117144233,24,Estimation
220,b0,0.04193939113290317,24,Estimation
221,d0,0.003988010065579223,24,Estimation
222,d_d0,0.07652898497487842,24,Estimation
223,b1,0.49636764217725643,24,Estimation
224,d1,0.4931872578229686,24,Estimation
225,mu,0.0004,-1,True
226,h_mu,0.0004,-1,True
227,nu,0.004,-1,True
228,h_nu,-0.0004,-1,True
229,b0,0.04,-1,True
230,d0,0.0,-1,True
231,d_d0,0.08,-1,True
232,b1,0.001,-1,True
233,d1,0.0,-1,True
