,Parameter,Value,Run,Type
0,mu,0.0,0,Estimation
1,h_mu,7.198840006962404e-05,0,Estimation
2,nu,0.0014483732542332273,0,Estimation
3,h_nu,0.0,0,Estimation
4,b0,0.08189977931058977,0,Estimation
5,d0,0.04349151078070942,0,Estimation
6,d_d0,0.07269704412343271,0,Estimation
7,b1,0.04533398202799405,0,Estimation
8,d1,0.050701447096003195,0,Estimation
9,mu,0.0024768181074548003,1,Estimation
10,h_mu,3.231258767199784e-05,1,Estimation
11,nu,0.022057959226562864,1,Estimation
12,h_nu,-0.002043247308838486,1,Estimation
13,b0,0.09994745461975842,1,Estimation
14,d0,0.059659669513478536,1,Estimation
15,d_d0,0.08480610855672328,1,Estimation
16,b1,0.02667606242388836,1,Estimation
17,d1,0.025323334538177783,1,Estimation
18,mu,0.0003389034402485189,2,Estimation
19,h_mu,5.4533771179152534e-05,2,Estimation
20,nu,0.0003744805144196942,2,Estimation
21,h_nu,0.0,2,Estimation
22,b0,0.09175420500072921,2,Estimation
23,d0,0.05073182232413003,2,Estimation
24,d_d0,0.07934433576097147,2,Estimation
25,b1,0.044586897239976414,2,Estimation
26,d1,0.04387174591130998,2,Estimation
27,mu,0.0,3,Estimation
28,h_mu,4.4530990588749525e-05,3,Estimation
29,nu,0.0,3,Estimation
30,h_nu,-0.1,3,Estimation
31,b0,0.09999999270074952,3,Estimation
32,d0,0.06200104548239116,3,Estimation
33,d_d0,0.07027487366859524,3,Estimation
34,b1,0.0,3,Estimation
35,d1,0.004114722864042229,3,Estimation
36,mu,0.004818838887149137,4,Estimation
37,h_mu,0.0,4,Estimation
38,nu,0.017540240366886527,4,Estimation
39,h_nu,-0.00023386987681863817,4,Estimation
40,b0,0.04075819069168726,4,Estimation
41,d0,1.627043767090667e-06,4,Estimation
42,d_d0,0.07907687199148739,4,Estimation
43,b1,0.031421923533326526,4,Estimation
44,d1,0.033477170198688636,4,Estimation
45,mu,0.0,5,Estimation
46,h_mu,4.739635797365662e-05,5,Estimation
47,nu,0.003322362128138914,5,Estimation
48,h_nu,-0.004961346866134,5,Estimation
49,b0,0.04462400269576853,5,Estimation
50,d0,0.005509002440854901,5,Estimation
51,d_d0,0.07692519166591434,5,Estimation
52,b1,0.021927124361797515,5,Estimation
53,d1,0.021072778978463033,5,Estimation
54,mu,0.01251662343182612,6,Estimation
55,h_mu,0.0,6,Estimation
56,nu,0.021637889299494995,6,Estimation
57,h_nu,-0.0002885051906924252,6,Estimation
58,b0,0.0485886380936583,6,Estimation
59,d0,0.0011660966615480756,6,Estimation
60,d_d0,0.09038592174428803,6,Estimation
61,b1,0.056197415528488955,6,Estimation
62,d1,0.06486869046611775,6,Estimation
63,mu,0.0,7,Estimation
64,h_mu,7.033617946181502e-05,7,Estimation
65,nu,0.005138826328816816,7,Estimation
66,h_nu,-0.1,7,Estimation
67,b0,0.09432059333297174,7,Estimation
68,d0,0.056736663285477384,7,Estimation
69,d_d0,0.06950495064013111,7,Estimation
70,b1,0.0012280597571100054,7,Estimation
71,d1,0.008136917955852124,7,Estimation
72,mu,0.0,8,Estimation
73,h_mu,0.00010214291523094938,8,Estimation
74,nu,0.005557107469898517,8,Estimation
75,h_nu,0.0,8,Estimation
76,b0,0.06281445291316519,8,Estimation
77,d0,0.022385221657209624,8,Estimation
78,d_d0,0.08274374577747834,8,Estimation
79,b1,0.04254965739433576,8,Estimation
80,d1,0.04277544455410924,8,Estimation
81,mu,0.0018465816609223905,9,Estimation
82,h_mu,6.048216574216182e-05,9,Estimation
83,nu,0.010735756915492877,9,Estimation
84,h_nu,-0.00010735758190492383,9,Estimation
85,b0,0.09401729789414907,9,Estimation
86,d0,0.05288535636998571,9,Estimation
87,d_d0,0.08081637556797733,9,Estimation
88,b1,0.044101459206487885,9,Estimation
89,d1,0.04384619961424844,9,Estimation
90,mu,0.0004,-1,True
91,h_mu,4e-05,-1,True
92,nu,0.004,-1,True
93,h_nu,-4e-05,-1,True
94,b0,0.04,-1,True
95,d0,0.0,-1,True
96,d_d0,0.08,-1,True
97,b1,0.001,-1,True
98,d1,0.0,-1,True
