Parameter,Value,Run,Type
mu,0.0029442749694853004,0,Estimation
h_mu,3.680815415356775e-05,0,Estimation
nu,0.0015519603369312047,0,Estimation
h_nu,-0.1,0,Estimation
b0,0.08491829395156539,0,Estimation
d0,0.042076285410702484,0,Estimation
d_d0,0.07732929092637345,0,Estimation
b1,0.0930630616820269,0,Estimation
d1,0.09995604646790089,0,Estimation
mu,0.0,1,Estimation
h_mu,7.494599271479781e-05,1,Estimation
nu,0.0,1,Estimation
h_nu,-0.084833578695872,1,Estimation
b0,0.06739337283462943,1,Estimation
d0,0.028862887213422783,1,Estimation
d_d0,0.06922308798164191,1,Estimation
b1,0.02699005298634725,1,Estimation
d1,0.039456555931138726,1,Estimation
mu,0.0,2,Estimation
h_mu,1.863316924762763e-05,2,Estimation
nu,0.01599911096229428,2,Estimation
h_nu,-0.1,2,Estimation
b0,0.03951127049330091,2,Estimation
d0,4.319002601253421e-09,2,Estimation
d_d0,0.08960567244997608,2,Estimation
b1,0.05375697979251867,2,Estimation
d1,0.04622967889387346,2,Estimation
mu,0.0005452596631274541,3,Estimation
h_mu,3.401469268546921e-05,3,Estimation
nu,0.002842247054207239,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.0416460732698284,3,Estimation
d0,7.312789098381198e-06,3,Estimation
d_d0,0.08495764049280896,3,Estimation
b1,0.05123712753413451,3,Estimation
d1,0.04915700127190985,3,Estimation
mu,0.004886741707336383,4,Estimation
h_mu,2.9943433051934106e-05,4,Estimation
nu,0.010116667763163814,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.043299525393435484,4,Estimation
d0,0.0,4,Estimation
d_d0,0.07965789838648331,4,Estimation
b1,0.04684199740197643,4,Estimation
d1,0.05319953275688738,4,Estimation
mu,0.0,5,Estimation
h_mu,4.7171875426280254e-05,5,Estimation
nu,0.0028041155465559366,5,Estimation
h_nu,-0.027232783603522864,5,Estimation
b0,0.05294668039629116,5,Estimation
d0,0.012488154131626824,5,Estimation
d_d0,0.08549615862218331,5,Estimation
b1,0.08940030861633581,5,Estimation
d1,0.09359910496621719,5,Estimation
mu,0.002317801926832395,6,Estimation
h_mu,1.9564958432172603e-05,6,Estimation
nu,0.010285698312830858,6,Estimation
h_nu,-0.0004710312668680701,6,Estimation
b0,0.05983083612365079,6,Estimation
d0,0.019374899847176615,6,Estimation
d_d0,0.07985887681380151,6,Estimation
b1,0.002676890237609897,6,Estimation
d1,0.0032927646240413877,6,Estimation
mu,0.0027579900442835387,7,Estimation
h_mu,1.2992922881381855e-05,7,Estimation
nu,0.007674628085500966,7,Estimation
h_nu,-0.00010071226198581791,7,Estimation
b0,0.04343287660676265,7,Estimation
d0,1.0603403897572182e-05,7,Estimation
d_d0,0.09375446720554462,7,Estimation
b1,0.06226363163172298,7,Estimation
d1,0.0576012139063229,7,Estimation
mu,0.0,8,Estimation
h_mu,2.212432935463782e-05,8,Estimation
nu,0.007147731611326127,8,Estimation
h_nu,-0.1,8,Estimation
b0,0.04638356467504882,8,Estimation
d0,0.0074198227651164315,8,Estimation
d_d0,0.07882324796697764,8,Estimation
b1,0.050563959713507994,8,Estimation
d1,0.04942114053703196,8,Estimation
mu,0.0,9,Estimation
h_mu,9.895240699468097e-05,9,Estimation
nu,0.009948002887437333,9,Estimation
h_nu,-0.0017607728721974894,9,Estimation
b0,0.09960234432359671,9,Estimation
d0,0.05986799537261288,9,Estimation
d_d0,0.07622412904857537,9,Estimation
b1,0.00200125386928681,9,Estimation
d1,0.003957658347183229,9,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
h_nu,-4e-05,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
